tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,116085,116085,                  Coprococcus catus,Coprococcus catus,species,0.0004839240432821665,abund,0.0,6,6
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2763667,2763667,                  Wansuia hejianensis,Wansuia hejianensis,species,0.9576856816554075,abund,0.96,11874,11874
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,39488,39488,                  Anaerobutyricum hallii,Anaerobutyricum hallii,species,0.8950981720575806,abund,0.9,11098,11098
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2763672,2763672,                  Simiaoa sunii,Simiaoa sunii,species,0.8731602820954556,abund,0.87,10826,10826
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,39491,39491,                  Agathobacter rectalis,Agathobacter rectalis,species,0.8420278353109696,abund,0.84,10440,7706
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,649756,649756,                  Anaerostipes hadrus,Anaerostipes hadrus,species,0.7175787021802391,abund,0.72,8897,7701
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,105841,105841,                  Anaerostipes caccae,Anaerostipes caccae,species,0.0026615822380519154,abund,0.0,33,11
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,1229621,1229621,                  Anaerostipes rhamnosivorans,Anaerostipes rhamnosivorans,species,0.000403270036068472,abund,0.0,5,5
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,3036926,3036926,                    Anaerostipes sp. PC18,Anaerostipes sp. PC18,species,0.00024196202164108324,abund,0.0,3,3
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,45851,45851,                  Eshraghiella crossota,Eshraghiella crossota,species,0.6031306659440068,abund,0.6,7478,7478
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,39485,39485,                  Lachnospira eligens,Lachnospira eligens,species,0.5215894646509617,abund,0.52,6467,4274
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,29347,29347,                  [Clostridium] scindens,[Clostridium] scindens,species,0.05903873328042431,abund,0.06,732,732
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,89153,89153,                  [Clostridium] hylemonae,[Clostridium] hylemonae,species,0.021695927940483795,abund,0.02,269,260
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,1512,1512,                  [Clostridium] symbiosum,[Clostridium] symbiosum,species,0.00032261602885477763,abund,0.0,4,4
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2994035,2994035,                  Sellimonas catena,Sellimonas catena,species,0.0172599575437306,abund,0.02,214,214
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2592333,2592333,                  Sellimonas caecigallum,Sellimonas caecigallum,species,0.01209810108205416,abund,0.01,150,150
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,1653434,1653434,                  Sellimonas intestinalis,Sellimonas intestinalis,species,0.003710084331829942,abund,0.0,46,46
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,3028070,3028070,                  Claveliimonas bilis,Claveliimonas bilis,species,0.00879128678629269,abund,0.01,109,109
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,1912855,1912855,                  Faecalimonas umbilicata,Faecalimonas umbilicata,species,0.0086299787718653,abund,0.01,107,107
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,168384,168384,                  Marvinbryantia formatexigens,Marvinbryantia formatexigens,species,0.0070168986275914134,abund,0.01,87,0
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,29375,29375,                  Lacrimispora xylanolytica,Lacrimispora xylanolytica,species,0.002580928230838221,abund,0.0,32,32
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,3111456,3111456,                  Lacrimispora sinapis,Lacrimispora sinapis,species,0.0015324261370601939,abund,0.0,19,19
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,29370,29370,                  Lacrimispora sphenoides,Lacrimispora sphenoides,species,0.0011291561009917216,abund,0.0,14,0
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,3375704,3375704,                    Lacrimispora sp. HJ-01,Lacrimispora sp. HJ-01,species,0.0005645780504958608,abund,0.0,7,7
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,3151850,3151850,                    Lacrimispora sp. BS-2,Lacrimispora sp. BS-2,species,0.000403270036068472,abund,0.0,5,5
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,384636,384636,                  Lacrimispora xylanisolvens,Lacrimispora xylanisolvens,species,0.00032261602885477763,abund,0.0,4,4
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,84030,84030,                  Lacrimispora saccharolytica,Lacrimispora saccharolytica,species,0.00016130801442738882,abund,0.0,2,2
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2068655,2068655,                  Novisyntrophococcus fermenticellae,Novisyntrophococcus fermenticellae,species,0.005726434512172303,abund,0.01,71,71
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,208479,208479,                  Enterocloster bolteae,Enterocloster bolteae,species,0.0029841982669066933,abund,0.0,37,37
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,1531,1531,                  Enterocloster clostridioformis,Enterocloster clostridioformis,species,0.001371118122632805,abund,0.0,17,17
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,460384,460384,                  Enterocloster lavalensis,Enterocloster lavalensis,species,0.000403270036068472,abund,0.0,5,5
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,333367,333367,                  Enterocloster asparagiformis,Enterocloster asparagiformis,species,0.00016130801442738882,abund,0.0,2,0
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2763670,2763670,                  Wujia chipingensis,Wujia chipingensis,species,0.004435970396753193,abund,0.0,55,55
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2709410,2709410,                  Chordicoccus furentiruminis,Chordicoccus furentiruminis,species,0.002822890252479304,abund,0.0,35,35
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,3123317,3123317,                    Kineothrix sp. IPX-CK,Kineothrix sp. IPX-CK,species,0.001371118122632805,abund,0.0,17,17
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,3070215,3070215,                    Kineothrix sp. MB12-C1,Kineothrix sp. MB12-C1,species,0.0008871940793506384,abund,0.0,11,11
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2763669,2763669,                  Qiania dongpingensis,Qiania dongpingensis,species,0.0017743881587012767,abund,0.0,22,22
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2652274,2652274,                  Eisenbergiella porci,Eisenbergiella porci,species,0.0012098101082054162,abund,0.0,15,15
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,185008,185008,                  Butyrivibrio hungatei,Butyrivibrio hungatei,species,0.0004839240432821665,abund,0.0,6,6
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,3236815,3236815,                    Butyrivibrio sp. JL13D10,Butyrivibrio sp. JL13D10,species,8.065400721369441e-05,abund,0.0,1,1
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2934315,2934315,                  Anaeropeptidivorans aminofermentans,Anaeropeptidivorans aminofermentans,species,0.00032261602885477763,abund,0.0,4,4
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2918914,2918914,                  Chakrabartyella piscis,Chakrabartyella piscis,species,0.00024196202164108324,abund,0.0,3,3
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2497860,2497860,                    Cellulosilyticum sp. WCF-2,Cellulosilyticum sp. WCF-2,species,0.00024196202164108324,abund,0.0,3,3
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,3055805,3055805,                    Cellulosilyticum sp. ST5,Cellulosilyticum sp. ST5,species,8.065400721369441e-05,abund,0.0,1,1
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2929494,2929494,                    Faecalibacterium sp. I4-1-79,Faecalibacterium sp. I4-1-79,species,0.7854893762541698,abund,0.79,9739,9739
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2929495,2929495,                    Faecalibacterium sp. I4-3-84,Faecalibacterium sp. I4-3-84,species,0.7589542078808643,abund,0.76,9410,9410
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2929489,2929489,                    Faecalibacterium sp. IP-3-29,Faecalibacterium sp. IP-3-29,species,0.7174173941658117,abund,0.72,8895,8895
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2929490,2929490,                    Faecalibacterium sp. I2-3-92,Faecalibacterium sp. I2-3-92,species,0.7114489976319983,abund,0.71,8821,8821
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2929493,2929493,                    Faecalibacterium sp. I3-3-89,Faecalibacterium sp. I3-3-89,species,0.6823329010278547,abund,0.68,8460,8460
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2929488,2929488,                    Faecalibacterium sp. IP-1-18,Faecalibacterium sp. IP-1-18,species,0.6044211300594259,abund,0.6,7494,7494
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2929492,2929492,                    Faecalibacterium sp. I3-3-33,Faecalibacterium sp. I3-3-33,species,0.011049598988276134,abund,0.01,137,137
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,3141185,3141185,                    Faecalibacterium sp. i25-0019-C1,Faecalibacterium sp. i25-0019-C1,species,0.00274223624526561,abund,0.0,34,34
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,3141184,3141184,                    Faecalibacterium sp. i21-0019-B1,Faecalibacterium sp. i21-0019-B1,species,0.000403270036068472,abund,0.0,5,5
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,853,853,                  Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,0.7396779001567915,abund,0.74,9171,8860
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,411483,411483,                  Faecalibacterium duncaniae,Faecalibacterium duncaniae,species,0.7286283011685152,abund,0.73,9034,9034
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,3030638,3030638,                  Faecalibacterium taiwanense,Faecalibacterium taiwanense,species,0.0086299787718653,abund,0.01,107,107
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2929491,2929491,                  Faecalibacterium wellingii,Faecalibacterium wellingii,species,0.0004839240432821665,abund,0.0,6,6
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,1550024,1550024,                  Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,species,1.067859055509314,abund,1.07,13240,13240
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,292800,292800,                  Flavonifractor plautii,Flavonifractor plautii,species,1.020353845260448,abund,1.02,12651,12651
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,169435,169435,                  Anaerotruncus colihominis,Anaerotruncus colihominis,species,0.8518676241910402,abund,0.85,10562,10562
