tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw,norm_abund,classified_fraction
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1680,1680,Bifidobacterium_adolescentis,Bifidobacterium adolescentis,species,3.2794,abund,0.032794,2291036,28027,1207,species,3.2794,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2173,2173,Methanobrevibacter_smithii,Methanobrevibacter smithii,species,0.14839,abund,0.0014839,2717734,1545,7,species,0.14839,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,4932,4932,Saccharomyces_cerevisiae,Saccharomyces cerevisiae,species,0.0,abund,0.0,10536517,5314,5296,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,4952,4952,Yarrowia_lipolytica,Yarrowia lipolytica,species,0.0,abund,0.0,18781082,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,4959,4959,Debaryomyces_hansenii,Debaryomyces hansenii,species,0.0,abund,0.0,5340714,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,5476,5476,Candida_albicans,Candida albicans,species,0.0,abund,0.0,11199016,6235,6235,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,13502,13502,Brettanomyces_nanus,Brettanomyces nanus,species,0.0,abund,0.0,9279521,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,27291,27291,Saccharomyces_paradoxus,Saccharomyces paradoxus,species,0.0,abund,0.0,10545405,20,20,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,28116,28116,Bacteroides_ovatus,Bacteroides ovatus,species,0.00159,abund,1.59e-05,6857275,59,59,species,0.00159,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,28128,28128,Prevotella_corporis,Prevotella corporis,species,11.784980000000001,abund,0.1178498,2947105,214781,214779,species,11.784980000000001,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,28141,28141,Cronobacter_sakazakii,Cronobacter sakazakii,species,0.0,abund,0.0,7857366,4,4,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,28901,28901,Salmonella_enterica,Salmonella enterica,species,0.0028,abund,2.8e-05,5432593,221,191,species,0.0027999999999999995,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,33038,33038,Mediterraneibacter_gnavus,Mediterraneibacter gnavus,species,9.999999999999999e-06,abund,1e-07,40026036,1,1,species,1e-05,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,33039,33039,[Ruminococcus]_torques,[Ruminococcus]_torques,species,0.0,abund,0.0,3128780,5,5,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,35703,35703,Citrobacter_amalonaticus,Citrobacter amalonaticus,species,0.0,abund,0.0,8016967,3,3,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,39490,39490,Eubacterium_ramulus,Eubacterium ramulus,species,0.0,abund,0.0,3378009,2,2,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,39491,39491,Agathobacter_rectalis,Agathobacter rectalis,species,0.00011999999999999999,abund,1.2e-06,3571899,3,3,species,0.00011999999999999999,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,53442,53442,Eubacterium_callanderi,Eubacterium callanderi,species,0.0,abund,0.0,13635247,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,54291,54291,Raoultella_ornithinolytica,Raoultella ornithinolytica,species,0.0,abund,0.0,11468188,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,61645,61645,Enterobacter_asburiae,Enterobacter asburiae,species,0.0,abund,0.0,10529636,2,2,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,61646,61646,Lelliottia_amnigena,Lelliottia amnigena,species,0.0,abund,0.0,4914411,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,76517,76517,Campylobacter_hominis,Campylobacter hominis,species,0.0,abund,0.0,1716514,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,76859,76859,Fusobacterium_animalis,Fusobacterium animalis,species,0.012669999999999999,abund,0.0001267,4570042,744,725,species,0.012669999999999999,1.0
