tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw,norm_abund,classified_fraction
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,9,9,Buchnera_aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,596134,1,0,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,546,546,Citrobacter_freundii,Citrobacter freundii,species,0.0,abund,0.0,21102308,3,3,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,550,550,Enterobacter_cloacae,Enterobacter cloacae,species,0.0,abund,0.0,11672214,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,562,562,Escherichia_coli,Escherichia coli,species,6.53389,abund,0.0653389,7472123,301591,186879,species,6.53389,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,564,564,Escherichia_fergusonii,Escherichia fergusonii,species,0.0,abund,0.0,18076621,4,4,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,573,573,Klebsiella_pneumoniae,Klebsiella pneumoniae,species,1.9999999999999998e-05,abund,2e-07,14868525,19,19,species,2e-05,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,621,621,Shigella_boydii,Shigella boydii,species,3.9999999999999996e-05,abund,4e-07,8007425,83,83,species,4e-05,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,622,622,Shigella_dysenteriae,Shigella dysenteriae,species,0.0,abund,0.0,14441356,9,9,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,623,623,Shigella_flexneri,Shigella flexneri,species,0.00079,abund,7.9e-06,7466647,739,737,species,0.00079,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,624,624,Shigella_sonnei,Shigella sonnei,species,0.0,abund,0.0,21371158,44,44,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,817,817,Bacteroides_fragilis,Bacteroides fragilis,species,9.77676,abund,0.0977676,10652239,380444,378310,species,9.77676,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,818,818,Bacteroides_thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.00019,abund,1.9e-06,32028362,43,43,species,0.00018999999999999998,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,820,820,Bacteroides_uniformis,Bacteroides uniformis,species,0.0,abund,0.0,7730875,3,3,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,821,821,Phocaeicola_vulgatus,Phocaeicola vulgatus,species,0.00209,abund,2.09e-05,10114784,107,107,species,0.00209,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,823,823,Parabacteroides_distasonis,Parabacteroides distasonis,species,0.0,abund,0.0,5279052,17,17,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,851,851,Fusobacterium_nucleatum,Fusobacterium nucleatum,species,6.02352,abund,0.0602352,4887871,107846,107845,species,6.023520000000001,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,853,853,Faecalibacterium_prausnitzii,Faecalibacterium prausnitzii,species,13.10299,abund,0.1310299,8991799,415166,415014,species,13.10299,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1282,1282,Staphylococcus_epidermidis,Staphylococcus epidermidis,species,9.999999999999999e-06,abund,1e-07,38682851,1,1,species,1e-05,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1351,1351,Enterococcus_faecalis,Enterococcus faecalis,species,0.00043000000000000004,abund,4.3e-06,8906089,15,5,species,0.00043000000000000004,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1496,1496,Clostridioides_difficile,Clostridioides difficile,species,0.84871,abund,0.0084871,16267201,52735,12585,species,0.84871,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1613,1613,Limosilactobacillus_fermentum,Limosilactobacillus fermentum,species,1.7443,abund,0.017443,3299272,22768,10161,species,1.7443,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1680,1680,Bifidobacterium_adolescentis,Bifidobacterium adolescentis,species,3.16716,abund,0.0316716,2291036,19036,798,species,3.16716,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2173,2173,Methanobrevibacter_smithii,Methanobrevibacter smithii,species,0.14245,abund,0.0014245,2717734,1045,2,species,0.14245,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,4932,4932,Saccharomyces_cerevisiae,Saccharomyces cerevisiae,species,2.9999999999999997e-05,abund,3e-07,10536517,3735,3724,species,2.9999999999999997e-05,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,4952,4952,Yarrowia_lipolytica,Yarrowia lipolytica,species,0.0,abund,0.0,18781082,3,3,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,4959,4959,Debaryomyces_hansenii,Debaryomyces hansenii,species,0.0,abund,0.0,5340714,2,2,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,5476,5476,Candida_albicans,Candida albicans,species,0.0,abund,0.0,11199016,4524,4524,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,27291,27291,Saccharomyces_paradoxus,Saccharomyces paradoxus,species,0.0,abund,0.0,10545405,15,14,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,28116,28116,Bacteroides_ovatus,Bacteroides ovatus,species,0.00111,abund,1.11e-05,6857275,38,38,species,0.00111,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,28128,28128,Prevotella_corporis,Prevotella corporis,species,11.67723,abund,0.1167723,2947105,150412,150411,species,11.67723,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,28901,28901,Salmonella_enterica,Salmonella enterica,species,0.00293,abund,2.93e-05,5432593,171,148,species,0.00293,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,33039,33039,[Ruminococcus]_torques,[Ruminococcus]_torques,species,0.0,abund,0.0,3128780,2,2,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,33050,33050,Sphingopyxis_macrogoltabida,Sphingopyxis macrogoltabida,species,0.0,abund,0.0,5953153,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,35703,35703,Citrobacter_amalonaticus,Citrobacter amalonaticus,species,0.0,abund,0.0,8016967,3,3,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,39490,39490,Eubacterium_ramulus,Eubacterium ramulus,species,0.0,abund,0.0,3378009,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,39491,39491,Agathobacter_rectalis,Agathobacter rectalis,species,0.0,abund,0.0,3571899,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,42374,42374,Candida_dubliniensis,Candida dubliniensis,species,0.0,abund,0.0,11255432,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,53442,53442,Eubacterium_callanderi,Eubacterium callanderi,species,0.0,abund,0.0,13635247,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,54291,54291,Raoultella_ornithinolytica,Raoultella ornithinolytica,species,0.0,abund,0.0,11468188,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,57706,57706,Citrobacter_braakii,Citrobacter braakii,species,0.0,abund,0.0,74660107,1,1,species,0.0,1.0
