tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1308,1308,Streptococcus thermophilus,Streptococcus thermophilus,species,0.43352,fraction_reads,0.43352,1308,1||1239|91061|186826|1300|1301|1308,5375,0,0,5375,0.4486090088743911,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1318,1318,Streptococcus parasanguinis,Streptococcus parasanguinis,species,0.52248,fraction_reads,0.52248,1318,1||1239|91061|186826|1300|1301|1318,6478,0,0,6478,0.5406653325260469,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1322,1322,Blautia hansenii,Blautia hansenii,species,0.0125,fraction_reads,0.0125,1322,1||1239|186801|3085636|186803|572511|1322,155,0,0,155,0.01293507245554966,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1328,1328,Streptococcus anginosus,Streptococcus anginosus,species,0.47433,fraction_reads,0.47433,1328,1||1239|91061|186826|1300|1301|1328,5881,0,0,5881,0.4908394334272696,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1338,1338,Streptococcus intermedius,Streptococcus intermedius,species,0.469,fraction_reads,0.469,1338,1||1239|91061|186826|1300|1301|1338,5815,0,0,5815,0.4853239185322232,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1343,1343,Streptococcus vestibularis,Streptococcus vestibularis,species,0.46916,fraction_reads,0.46916,1343,1||1239|91061|186826|1300|1301|1343,5817,0,0,5817,0.48548948745965426,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1351,1351,Enterococcus faecalis,Enterococcus faecalis,species,0.00032,fraction_reads,0.00032,1351,1||1239|91061|186826|81852|1350|1351,4,0,0,4,0.0003311378548620713,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1352,1352,Enterococcus faecium,Enterococcus faecium,species,8e-05,fraction_reads,8e-05,1352,1||1239|91061|186826|81852|1350|1352,1,0,0,1,8.278446371551782e-05,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1496,1496,Clostridioides difficile,Clostridioides difficile,species,0.01323,fraction_reads,0.01323,1496,1||1239|186801|3082720|186804|1870884|1496,164,0,0,164,0.01369048068695376,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1522,1522,[Clostridium] innocuum,[Clostridium] innocuum,species,1.14625,fraction_reads,1.14625,1522,1||1239|186801|186802|31979|1485|1522,14212,0,0,14212,1.1861461441739036,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1580,1580,Levilactobacillus brevis,Levilactobacillus brevis,species,0.59902,fraction_reads,0.59902,1580,1||1239|91061|186826|33958|2767886|1580,7427,0,0,7427,0.6198693681858686,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1590,1590,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,species,0.77799,fraction_reads,0.77799,1590,1||1239|91061|186826|33958|2767842|1590,9646,0,0,9646,0.8050685615754463,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1597,1597,Lacticaseibacillus paracasei,Lacticaseibacillus paracasei,species,0.71347,fraction_reads,0.71347,1597,1||1239|91061|186826|33958|2759736|1597,8846,0,0,8846,0.7383028915888813,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1655,1655,Actinomyces naeslundii,Actinomyces naeslundii,species,0.7621,fraction_reads,0.7621,1655,1||201174|1760|2037|2049|1654|1655,9449,0,0,9449,0.7886254974699516,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1660,1660,Schaalia odontolytica,Schaalia odontolytica,species,0.59418,fraction_reads,0.59418,1660,1||201174|1760|2037|2049|2529408|1660,7367,0,0,7367,0.6148609081310797,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,0.85816,fraction_reads,0.85816,1680,1||201174|1760|85004|31953|1678|1680,10640,0,0,10640,0.8880289422763596,0.9663649
