tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1302,1302,Streptococcus_gordonii,Streptococcus gordonii,species,0.90002,abund,0.0090002,2239984,6594,2379,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1303,1303,Streptococcus_oralis,Streptococcus oralis,species,0.7151000000000001,abund,0.007151,2640922,5764,1901,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1304,1304,Streptococcus_salivarius,Streptococcus salivarius,species,0.89078,abund,0.0089078,7656266,6620,6605,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1305,1305,Streptococcus_sanguinis,Streptococcus sanguinis,species,0.87356,abund,0.0087356,2418981,6897,6892,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1307,1307,Streptococcus_suis,Streptococcus suis,species,0.00020999999999999998,abund,2.1e-06,3182057,63,43,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1308,1308,Streptococcus_thermophilus,Streptococcus thermophilus,species,0.31384,abund,0.0031384,5085550,5376,1809,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1313,1313,Streptococcus_pneumoniae,Streptococcus pneumoniae,species,0.0,abund,0.0,3888167,2,2,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1318,1318,Streptococcus_parasanguinis,Streptococcus parasanguinis,species,0.90329,abund,0.0090329,2153979,6477,6458,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1322,1322,Blautia_hansenii,Blautia hansenii,species,0.0,abund,0.0,2913538,75,26,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1328,1328,Streptococcus_anginosus,Streptococcus anginosus,species,0.12572,abund,0.0012572,2451558,1150,994,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1338,1338,Streptococcus_intermedius,Streptococcus intermedius,species,0.88357,abund,0.0088357,1974357,5815,92,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1343,1343,Streptococcus_vestibularis,Streptococcus vestibularis,species,0.8774000000000001,abund,0.008774,1950305,5825,5823,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1348,1348,Streptococcus_parauberis,Streptococcus parauberis,species,0.0,abund,0.0,10135448,1,0,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1351,1351,Enterococcus_faecalis,Enterococcus faecalis,species,0.00022,abund,2.2e-06,8906089,25,25,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1352,1352,Enterococcus_faecium,Enterococcus faecium,species,1.9999999999999998e-05,abund,2e-07,14384922,7,5,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1354,1354,Enterococcus_hirae,Enterococcus hirae,species,0.0,abund,0.0,7130557,1,1,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1359,1359,Lactococcus_cremoris,Lactococcus cremoris,species,0.0,abund,0.0,3049668,1,1,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1404,1404,Priestia_megaterium,Priestia megaterium,species,0.0,abund,0.0,8009521,1,0,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1405,1405,Bacillus_mycoides,Bacillus mycoides,species,0.0,abund,0.0,27084704,24,24,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1408,1408,Bacillus_pumilus,Bacillus pumilus,species,0.0,abund,0.0,7399122,3,0,species
