tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,lineage_raw,query_name,query_md5,query_filename,fraction_raw,f_weighted_raw,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,1522,[Clostridium] innocuum,[Clostridium] innocuum,species,1.09768557071097,abund_weighted,0.0109768557071097,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;[Clostridium] innocuum,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0046523147843932,0.0109768557071097,4602000,0.8409371120766478,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,371601,Bacteroides xylanisolvens,Bacteroides xylanisolvens,species,1.40637862514643,abund_weighted,0.0140637862514643,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0045340355949594,0.0140637862514643,4485000,0.8402388141089582,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,820,Bacteroides uniformis,Bacteroides uniformis,species,1.05651092981426,abund_weighted,0.0105651092981426,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0044511390690315,0.0105651092981426,4403000,0.8397388211108945,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,1550024,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,species,1.062465296598,abund_weighted,0.01062465296598,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruthenibacterium;Ruthenibacterium lactatiformans,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.004429909470928,0.01062465296598,4382000,0.8396093247987522,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,418240,Blautia wexlerae,Blautia wexlerae,species,1.22549041069661,abund_weighted,0.0122549041069661,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia wexlerae,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0043217396139245,0.0122549041069661,4275000,0.8389400401276551,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,28118,Odoribacter splanchnicus,Odoribacter splanchnicus,species,0.98868757875306,abund_weighted,0.0098868757875306,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;Odoribacter splanchnicus,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0042762476179885,0.0098868757875306,4230000,0.8386537098002103,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,166486,Roseburia intestinalis,Roseburia intestinalis,species,1.1095067400610399,abund_weighted,0.0110950674006104,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia intestinalis,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0041700996274711,0.0110950674006104,4125000,0.8379739732466874,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,28111,Bacteroides eggerthii,Bacteroides eggerthii,species,0.9223528193878,abund_weighted,0.009223528193878,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0040002628426431,0.009223528193878,3957000,0.836850764161474,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,46503,Parabacteroides merdae,Parabacteroides merdae,species,0.91019112252559,abund_weighted,0.0091019112252559,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0039760004448106,0.0091019112252559,3933000,0.8366865505006473,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,292800,Flavonifractor plautii,Flavonifractor plautii,species,0.9743854232431,abund_weighted,0.009743854232431,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0039709457785955,0.009743854232431,3928000,0.8366522172878244,10278171
