cohort,db_mode,tool,rank,n_files,root,pattern,out_name
pacbio,default,sourmash,genus,7,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/pacbio,sourmash-results/*-report.csv.summarized.csv,pacbio_sourmash_default_genus.tsv
pacbio,default,sylph,species,7,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/pacbio,sylph-results/*.fastq.sylphmpa,pacbio_sylph_default_species.tsv
pacbio,default,sylph,genus,7,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/pacbio,sylph-results/*.fastq.sylphmpa,pacbio_sylph_default_genus.tsv
pacbio,default,ganon2,species,7,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/pacbio,ganon2-results/*.tre,pacbio_ganon2_default_species.tsv
pacbio,default,ganon2,genus,7,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/pacbio,ganon2-results/*.tre,pacbio_ganon2_default_genus.tsv
pacbio,unified,Kraken2,species,7,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/pacbio,Kraken2-results/*_report.tsv,pacbio_Kraken2_unified_species.tsv
pacbio,unified,Kraken2,genus,7,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/pacbio,Kraken2-results/*_report.tsv,pacbio_Kraken2_unified_genus.tsv
pacbio,unified,Centrifuge,species,7,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/pacbio,Centrifuge-results/*_report.tsv,pacbio_Centrifuge_unified_species.tsv
pacbio,unified,Centrifuge,genus,7,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/pacbio,Centrifuge-results/*_report.tsv,pacbio_Centrifuge_unified_genus.tsv
pacbio,unified,Centrifuger,species,7,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/pacbio,Centrifuger-results/*_report.tsv,pacbio_Centrifuger_unified_species.tsv
pacbio,unified,Centrifuger,genus,7,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/pacbio,Centrifuger-results/*_report.tsv,pacbio_Centrifuger_unified_genus.tsv
pacbio,unified,sourmash,species,7,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/pacbio,sourmash-results/*-report.csv.summarized.csv,pacbio_sourmash_unified_species.tsv
pacbio,unified,sourmash,genus,7,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/pacbio,sourmash-results/*-report.csv.summarized.csv,pacbio_sourmash_unified_genus.tsv
pacbio,unified,sylph,species,7,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/pacbio,sylph-results/*.fastq.sylphmpa,pacbio_sylph_unified_species.tsv
pacbio,unified,sylph,genus,7,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/pacbio,sylph-results/*.fastq.sylphmpa,pacbio_sylph_unified_genus.tsv
pacbio,unified,ganon2,species,7,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/pacbio,ganon2-results/*.tre,pacbio_ganon2_unified_species.tsv
pacbio,unified,ganon2,genus,7,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/pacbio,ganon2-results/*.tre,pacbio_ganon2_unified_genus.tsv
ont_qiagen,default,Kraken2,species,8,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,Kraken2-results/*_report.tsv,ont_qiagen_Kraken2_default_species.tsv
ont_qiagen,default,Kraken2,genus,8,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,Kraken2-results/*_report.tsv,ont_qiagen_Kraken2_default_genus.tsv
ont_qiagen,default,Centrifuge,species,8,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,Centrifuge-results/*_report.tsv,ont_qiagen_Centrifuge_default_species.tsv
