tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,1496,1496,Clostridioides difficile,Clostridioides difficile,species,0.00871,fraction_reads,0.00871,1496,1||1239|186801|3082720|186804|1870884|1496,108,0,0,108
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,1522,1522,[Clostridium] innocuum,[Clostridium] innocuum,species,1.1465,fraction_reads,1.1465,1522,1||1239|186801|186802|31979|1485|1522,14215,0,0,14215
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,1580,1580,Levilactobacillus brevis,Levilactobacillus brevis,species,0.59902,fraction_reads,0.59902,1580,1||1239|91061|186826|33958|2767886|1580,7427,0,0,7427
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,1590,1590,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,species,0.77799,fraction_reads,0.77799,1590,1||1239|91061|186826|33958|2767842|1590,9646,0,0,9646
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,1597,1597,Lacticaseibacillus paracasei,Lacticaseibacillus paracasei,species,0.71347,fraction_reads,0.71347,1597,1||1239|91061|186826|33958|2759736|1597,8846,0,0,8846
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,1603,1603,Amylolactobacillus amylophilus,Amylolactobacillus amylophilus,species,8e-05,fraction_reads,8e-05,1603,1||1239|91061|186826|33958|2767876|1603,1,0,0,1
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,1655,1655,Actinomyces naeslundii,Actinomyces naeslundii,species,0.7621,fraction_reads,0.7621,1655,1||201174|1760|2037|2049|1654|1655,9449,0,0,9449
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,1660,1660,Schaalia odontolytica,Schaalia odontolytica,species,0.59418,fraction_reads,0.59418,1660,1||201174|1760|2037|2049|2529408|1660,7367,0,0,7367
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,0.83767,fraction_reads,0.83767,1680,1||201174|1760|85004|31953|1678|1680,10386,0,0,10386
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,2047,2047,Rothia dentocariosa,Rothia dentocariosa,species,0.60716,fraction_reads,0.60716,2047,1||201174|1760|85006|1268|32207|2047,7528,0,0,7528
