tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,norm_abund,classified_fraction
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,173,173,Leptospira interrogans,Leptospira interrogans,species,0.0,abund,0.0,6128534,2,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,192,192,Azospirillum brasilense,Azospirillum brasilense,species,0.0,abund,0.0,50779208,6,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,193,193,Azospirillum lipoferum,Azospirillum lipoferum,species,0.0,abund,0.0,7599738,5,2,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,195,195,Campylobacter coli,Campylobacter coli,species,0.0,abund,0.0,1776238,24,13,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,196,196,Campylobacter fetus,Campylobacter fetus,species,0.0,abund,0.0,2065164,4,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,197,197,Campylobacter jejuni,Campylobacter jejuni,species,0.0,abund,0.0,3124996,19,3,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,200,200,Campylobacter curvus,Campylobacter curvus,species,0.0,abund,0.0,1971270,14,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,201,201,Campylobacter lari,Campylobacter lari,species,0.0,abund,0.0,1565468,9,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,210,210,Helicobacter pylori,Helicobacter pylori,species,0.0,abund,0.0,1700965,20,2,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,217,217,Helicobacter mustelae,Helicobacter mustelae,species,0.0,abund,0.0,1578097,20,0,0.0,0.9892029803029516
