tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,norm_abund,classified_fraction
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,7,7,Azorhizobium caulinodans,Azorhizobium caulinodans,species,0.0,abund,0.0,5369772,22,16,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,9,9,Buchnera aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,602805,170,67,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,11,11,Cellulomonas gilvus,Cellulomonas gilvus,species,0.0,abund,0.0,3526441,4,4,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,14,14,Dictyoglomus thermophilum,Dictyoglomus thermophilum,species,0.0,abund,0.0,1959987,33,19,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,19,19,Pelobacter carbinolicus,Pelobacter carbinolicus,species,0.0,abund,0.0,3665893,11,10,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,24,24,Shewanella putrefaciens,Shewanella putrefaciens,species,0.0,abund,0.0,4749735,109,8,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,34,34,Myxococcus xanthus,Myxococcus xanthus,species,0.0,abund,0.0,9139763,31,9,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,35,35,Corallococcus macrosporus,Corallococcus macrosporus,species,0.0,abund,0.0,8973512,48,7,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,41,41,Stigmatella aurantiaca,Stigmatella aurantiaca,species,0.0,abund,0.0,10260756,24,15,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,43,43,Cystobacter fuscus,Cystobacter fuscus,species,0.0,abund,0.0,12349744,24,17,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,48,48,Archangium gephyra,Archangium gephyra,species,0.0,abund,0.0,12489432,19,13,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,52,52,Chondromyces crocatus,Chondromyces crocatus,species,0.0,abund,0.0,11388132,46,29,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,56,56,Sorangium cellulosum,Sorangium cellulosum,species,0.0,abund,0.0,13907952,121,36,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,63,63,Vitreoscilla filiformis,Vitreoscilla filiformis,species,0.0,abund,0.0,3787551,15,9,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,69,69,Lysobacter enzymogenes,Lysobacter enzymogenes,species,0.0,abund,0.0,12227539,53,21,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,72,72,Simonsiella muelleri,Simonsiella muelleri,species,0.0,abund,0.0,2469862,23,19,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,94,94,Stella humosa,Stella humosa,species,0.0,abund,0.0,5832650,55,32,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,104,104,Cyclobacterium marinum,Cyclobacterium marinum,species,0.0,abund,0.0,6221273,16,7,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,114,114,Gemmata obscuriglobus,Gemmata obscuriglobus,species,0.0,abund,0.0,17998094,111,38,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,119,119,Rubinisphaera brasiliensis,Rubinisphaera brasiliensis,species,0.0,abund,0.0,6006602,2,2,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,120,120,Planctopirus limnophila,Planctopirus limnophila,species,0.0,abund,0.0,5460085,42,30,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,122,122,Gimesia maris,Gimesia maris,species,0.0,abund,0.0,15634937,42,14,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,125,125,Pirellula staleyi,Pirellula staleyi,species,0.0,abund,0.0,6196199,6,5,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,128,128,Isosphaera pallida,Isosphaera pallida,species,0.0,abund,0.0,5529304,5,3,0.0,0.9929428561996204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,134,134,Methylocystis parvus,Methylocystis parvus,species,0.0,abund,0.0,4529043,5,2,0.0,0.9929428561996204
