tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,clade_reads,direct_reads,norm_abund,classified_fraction
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,1660,Schaalia odontolytica,Schaalia odontolytica,species,0.5526275059029129,abund,0.55,56800000,56800000,0.6130348924261174,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,0.8105722318975964,abund,0.81,83312000,83312000,0.8991754041867022,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,2047,Rothia dentocariosa,Rothia dentocariosa,species,0.5677663861702532,abund,0.57,58356000,58356000,0.6298285947608891,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,2702,Gardnerella vaginalis,Gardnerella vaginalis,species,0.3803886901106722,abund,0.38,39097000,39097000,0.42196875333070255,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,28037,Streptococcus mitis,Streptococcus mitis,species,0.395975120822934,abund,0.4,40699000,40699000,0.439258927585397,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,28111,Bacteroides eggerthii,Bacteroides eggerthii,species,0.9223528201954585,abund,0.92,94801000,94801000,1.0231746626212737,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,28116,Bacteroides ovatus,Bacteroides ovatus,species,3.296491178213363,abund,3.3,338819000,338819000,3.65682868339656,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,28117,Alistipes putredinis,Alistipes putredinis,species,0.5395998864833441,abund,0.54,55460999,55460999,0.5985832316163733,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,28118,Odoribacter splanchnicus,Odoribacter splanchnicus,species,0.9886875796188046,abund,0.99,101619000,101619000,1.0967604354480567,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,28125,Prevotella bivia,Prevotella bivia,species,0.475191549574017,abund,0.48,48841000,48841000,0.52713445741169,0.9014617483123365
