tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,clade_reads,direct_reads,norm_abund,classified_fraction
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1655,Actinomyces naeslundii,Actinomyces naeslundii,species,0.6531183329042974,abund,0.65,67350000,67350000,0.6990958575835401,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1660,Schaalia odontolytica,Schaalia odontolytica,species,0.5664916652304431,abund,0.57,58417000,58417000,0.6063709385665577,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,0.8325488973249094,abund,0.83,85853000,85853000,0.8911577826446869,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,2047,Rothia dentocariosa,Rothia dentocariosa,species,0.5857700504689546,abund,0.59,60405000,60405000,0.6270064629151261,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,2702,Gardnerella vaginalis,Gardnerella vaginalis,species,0.3972433465343971,abund,0.4,40964000,40964000,0.425208058055711,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,28037,Streptococcus mitis,Streptococcus mitis,species,0.40750317127400726,abund,0.41,42022000,42022000,0.43619014294544206,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,28111,Bacteroides eggerthii,Bacteroides eggerthii,species,0.9487913539919297,abund,0.95,97840000,97840000,1.0155833512393997,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,28116,Bacteroides ovatus,Bacteroides ovatus,species,3.426412962708345,abund,3.43,353334000,353334000,3.66762191155787,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,28117,Alistipes putredinis,Alistipes putredinis,species,0.5604889889413895,abund,0.56,57798000,57798000,0.599945692303095,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,28118,Odoribacter splanchnicus,Odoribacter splanchnicus,species,1.016808745734653,abund,1.02,104853999,104853999,1.0883889584553625,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,28125,Prevotella bivia,Prevotella bivia,species,0.49200610371364667,abund,0.49,50735999,50735999,0.5266418222904622,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,28128,Prevotella corporis,Prevotella corporis,species,0.4381565795933909,abund,0.44,45183000,45183000,0.46900145706306007,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,29466,Veillonella parvula,Veillonella parvula,species,0.6469895907157969,abund,0.65,66718000,66718000,0.6925356707685023,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,29523,Bacteroides sp.,Bacteroides sp.,species,0.6442840225661265,abund,0.64,66439000,66439000,0.689639638930851,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,33039,[Ruminococcus] torques,[Ruminococcus] torques,species,0.5858282347302378,abund,0.59,60411000,60411000,0.6270687431696992,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,39485,Lachnospira eligens,Lachnospira eligens,species,0.5043702689337107,abund,0.5,52011000,52011000,0.5398763867672978,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,39486,Dorea formicigenerans,Dorea formicigenerans,species,0.6672474110192427,abund,0.67,68807000,68807000,0.7142195794023851,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,39488,Anaerobutyricum hallii,Anaerobutyricum hallii,species,0.8825679672747293,abund,0.88,91011000,91011000,0.944698041492733,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,39490,Eubacterium ramulus,Eubacterium ramulus,species,0.7814146290338275,abund,0.78,80580000,80580000,0.8364238189173222,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,39496,Eubacterium ventriosum,Eubacterium ventriosum,species,0.664987922206077,abund,0.66,68574000,68574000,0.7118010295164614,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,39777,Veillonella atypica,Veillonella atypica,species,0.5223201135395882,abund,0.52,53862000,53862000,0.5590898453031126,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,40520,Blautia obeum,Blautia obeum,species,0.8501787284937292,abund,0.85,87671000,87671000,0.9100286997803495,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,40545,Sutterella wadsworthensis,Sutterella wadsworthensis,species,0.7081509467013559,abund,0.71,73025000,73025000,0.7580025983673053,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,43675,Rothia mucilaginosa,Rothia mucilaginosa,species,0.5117499727398008,abund,0.51,52772000,52772000,0.5477755990556582,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,45851,Butyrivibrio crossotus,Butyrivibrio crossotus,species,0.5572597624401701,abund,0.56,57465000,57465000,0.5964891381742855,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,46503,Parabacteroides merdae,Parabacteroides merdae,species,0.9488786303838546,abund,0.95,97849000,97849000,1.0156767716212594,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.8914119749897809,abund,0.89,91923000,91923000,0.954164640187851,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,47678,Bacteroides caccae,Bacteroides caccae,species,1.2939597866778327,abund,1.29,133434000,133434000,1.385050581452147,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,74426,Collinsella aerofaciens,Collinsella aerofaciens,species,0.5639218603571002,abund,0.56,58152000,58152000,0.6036202273229104,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,77133,uncultured bacterium,uncultured bacterium,species,0.01579702693839793,abund,0.02,1629000,1629000,0.016909089116608565,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,84112,Eggerthella lenta,Eggerthella lenta,species,0.8081018005116939,abund,0.81,83331999,83331999,0.8649896853014951,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,84135,Gemella sanguinis,Gemella sanguinis,species,0.4274991624016785,abund,0.43,44084000,44084000,0.45759379043374576,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,88431,Dorea longicatena,Dorea longicatena,species,0.17086778063509608,abund,0.17,17620000,17620000,0.18289634759646586,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,89014,Blautia luti,Blautia luti,species,0.7777005336885812,abund,0.78,80197000,80197000,0.83244826266707,0.9342328749620027
