tool,db,tool_db,data_type,project,technology,sample,raw_path,rows,species_rows,genus_rows,species_no_taxid,genus_no_taxid,species_value_sum,genus_value_sum,out_path
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Kraken2-results/D6331_Qiagen_report.tsv,643,464,179,0,0,95.88316368044369,97.25942777436441,results/metadata/20260629_144812/analysis-prep/preprocessed/abundance/Kraken2_unified/ZymoMockD6331_ont_D6331_Qiagen.csv
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Kraken2-results/D6331_Zymo_report.tsv,1532,1086,446,0,0,93.63276192701181,97.00651966456101,results/metadata/20260629_144812/analysis-prep/preprocessed/abundance/Kraken2_unified/ZymoMockD6331_ont_D6331_Zymo.csv
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Centrifuge-results/D6331_Qiagen_report.tsv,2936,2182,754,0,0,100.00001870003965,100.00001870003965,results/metadata/20260629_144812/analysis-prep/preprocessed/abundance/Centrifuge_unified/ZymoMockD6331_ont_D6331_Qiagen.csv
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Centrifuge-results/D6331_Zymo_report.tsv,6147,4826,1321,0,0,99.99990826559493,99.99990826559493,results/metadata/20260629_144812/analysis-prep/preprocessed/abundance/Centrifuge_unified/ZymoMockD6331_ont_D6331_Zymo.csv
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Centrifuger-results/D6331_Qiagen_report.tsv,463,308,155,0,0,100.01181,99.99996999999999,results/metadata/20260629_144812/analysis-prep/preprocessed/abundance/Centrifuger_unified/ZymoMockD6331_ont_D6331_Qiagen.csv
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Centrifuger-results/D6331_Zymo_report.tsv,1377,933,444,0,0,100.00356,100.0,results/metadata/20260629_144812/analysis-prep/preprocessed/abundance/Centrifuger_unified/ZymoMockD6331_ont_D6331_Zymo.csv
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/ganon2-results/D6331_Qiagen.tre,179,112,67,0,0,85.04839,85.04835999999997,results/metadata/20260629_144812/analysis-prep/preprocessed/abundance/Ganon2_unified/ZymoMockD6331_ont_D6331_Qiagen.csv
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/ganon2-results/D6331_Zymo.tre,345,211,134,0,0,69.30845,69.30841999999998,results/metadata/20260629_144812/analysis-prep/preprocessed/abundance/Ganon2_unified/ZymoMockD6331_ont_D6331_Zymo.csv
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/sourmash-results/D6331_Qiagen-report.csv.summarized.csv,67,39,28,1,1,99.99999999999989,99.99999999999987,results/metadata/20260629_144812/analysis-prep/preprocessed/abundance/Sourmash_unified/ZymoMockD6331_ont_D6331_Qiagen.csv
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/sourmash-results/D6331_Zymo-report.csv.summarized.csv,71,45,26,1,1,99.9999999999999,99.99999999999993,results/metadata/20260629_144812/analysis-prep/preprocessed/abundance/Sourmash_unified/ZymoMockD6331_ont_D6331_Zymo.csv
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/sylph-results/D6331_Qiagen.fastq.sylphmpa,59,33,26,0,0,99.99959999999999,99.9996,results/metadata/20260629_144812/analysis-prep/preprocessed/abundance/Sylph_unified/ZymoMockD6331_ont_D6331_Qiagen.csv
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/sylph-results/D6331_Zymo.fastq.sylphmpa,55,31,24,0,0,99.99980000000001,99.9998,results/metadata/20260629_144812/analysis-prep/preprocessed/abundance/Sylph_unified/ZymoMockD6331_ont_D6331_Zymo.csv
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Kraken2-results/SRR13128013_report.tsv,389,292,97,0,0,98.06805390292378,99.31684803811704,results/metadata/20260629_144812/analysis-prep/preprocessed/abundance/Kraken2_unified/ZymoMockD6331_pacbio_SRR13128013.csv
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Kraken2-results/SRR13128014_report.tsv,353,270,83,0,0,98.02122644846608,99.26917222712966,results/metadata/20260629_144812/analysis-prep/preprocessed/abundance/Kraken2_unified/ZymoMockD6331_pacbio_SRR13128014.csv
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Centrifuge-results/SRR13128013_report.tsv,2528,1843,685,0,0,99.99998508011032,99.99998508011032,results/metadata/20260629_144812/analysis-prep/preprocessed/abundance/Centrifuge_unified/ZymoMockD6331_pacbio_SRR13128013.csv
