tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,343,343,Xanthomonas translucens,Xanthomonas translucens,species,0.059962999999999995,abund,0.00059963,13780216,5802,5009
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,346,346,Xanthomonas citri,Xanthomonas citri,species,1.9986600000052227e-40,abund,1.998660000005223e-42,35872144,1265,9
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,358,358,Agrobacterium tumefaciens,Agrobacterium tumefaciens,species,0.0007735060000000001,abund,7.73506e-06,14416562,1046,979
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,375,375,Bradyrhizobium japonicum,Bradyrhizobium japonicum,species,1.09444e-24,abund,1.09444e-26,1035569,28,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,380,380,Sinorhizobium fredii,Sinorhizobium fredii,species,0.0,abund,0.0,12274482,24,23
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,382,382,Sinorhizobium meliloti,Sinorhizobium meliloti,species,0.0,abund,0.0,11362822,7,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,399,399,Neorhizobium galegae,Neorhizobium galegae,species,0.0,abund,0.0,8632413,6,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,438,438,Acetobacter pasteurianus,Acetobacter pasteurianus,species,1.9308649999999999e-13,abund,1.930865e-15,6189343,5722,2
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,446,446,Legionella pneumophila,Legionella pneumophila,species,0.026458699999999998,abund,0.000264587,21706547,2297,2297
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,454,454,Legionella israelensis,Legionella israelensis,species,0.0,abund,0.0,32836259,1,1
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,470,470,Acinetobacter baumannii,Acinetobacter baumannii,species,1.7221199999999999,abund,0.0172212,7015917,49781,41152
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,485,485,Neisseria gonorrhoeae,Neisseria gonorrhoeae,species,0.217046,abund,0.00217046,4260387,11559,229
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,487,487,Neisseria meningitidis,Neisseria meningitidis,species,0.0,abund,0.0,1296051,18,0
