tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,238,238,Elizabethkingia meningoseptica,Elizabethkingia meningoseptica,species,0.0,abund,0.0,12426957,21,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,247,247,Empedobacter brevis,Empedobacter brevis,species,0.0,abund,0.0,43496207,11,5
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,250,250,Chryseobacterium gleum,Chryseobacterium gleum,species,0.0,abund,0.0,8284831,4,3
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,258,258,Sphingobacterium spiritivorum,Sphingobacterium spiritivorum,species,0.0,abund,0.0,8398387,1,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,259,259,Sphingobacterium thalpophilum,Sphingobacterium thalpophilum,species,0.0,abund,0.0,13462863,10,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,263,263,Francisella tularensis,Francisella tularensis,species,0.0,abund,0.0,4915514,33,2
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,266,266,Paracoccus denitrificans,Paracoccus denitrificans,species,2.77822e-42,abund,2.77822e-44,11134740,8,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,274,274,Thermus thermophilus,Thermus thermophilus,species,1.6923300000000001e-12,abund,1.69233e-14,3960793,30,11
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,285,285,Comamonas testosteroni,Comamonas testosteroni,species,0.0,abund,0.0,1035560,1,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,287,287,Pseudomonas aeruginosa,Pseudomonas aeruginosa,species,0.0,abund,0.0,4120622,387,88
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,292,292,Burkholderia cepacia,Burkholderia cepacia,species,0.0,abund,0.0,20884762,10,5
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,293,293,Brevundimonas diminuta,Brevundimonas diminuta,species,0.0,abund,0.0,15348103,2,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,294,294,Pseudomonas fluorescens,Pseudomonas fluorescens,species,0.0,abund,0.0,2737974,3,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,297,297,Hydrogenophilus thermoluteolus,Hydrogenophilus thermoluteolus,species,0.0,abund,0.0,12503466,2,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,298,298,Pseudomonas marginalis,Pseudomonas marginalis,species,0.0,abund,0.0,9524069,1,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,303,303,Pseudomonas putida,Pseudomonas putida,species,0.0,abund,0.0,2589687,42,7
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,305,305,Ralstonia solanacearum,Ralstonia solanacearum,species,0.0,abund,0.0,6998451,32,5
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,316,316,Stutzerimonas stutzeri,Stutzerimonas stutzeri,species,0.0,abund,0.0,1742299,2,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,317,317,Pseudomonas syringae,Pseudomonas syringae,species,0.0,abund,0.0,76104284,6,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,329,329,Ralstonia pickettii,Ralstonia pickettii,species,0.0,abund,0.0,20651746,1,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,337,337,Burkholderia glumae,Burkholderia glumae,species,0.0,abund,0.0,10398853,29,13
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,339,339,Xanthomonas campestris,Xanthomonas campestris,species,8.901529999999999e-191,abund,8.90153e-193,28841559,63,11
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,343,343,Xanthomonas translucens,Xanthomonas translucens,species,0.0,abund,0.0,4418924,4,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,346,346,Xanthomonas citri,Xanthomonas citri,species,2.17195e-65,abund,2.17195e-67,35872144,232,26
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,347,347,Xanthomonas oryzae,Xanthomonas oryzae,species,0.0,abund,0.0,403144536,13,6
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,353,353,Azotobacter chroococcum,Azotobacter chroococcum,species,0.0,abund,0.0,8125268,3,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,358,358,Agrobacterium tumefaciens,Agrobacterium tumefaciens,species,0.00320289,abund,3.20289e-05,14416562,43,14
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,359,359,Rhizobium rhizogenes,Rhizobium rhizogenes,species,0.0,abund,0.0,5722865,6,4
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,362,362,Agrobacterium radiobacter,Agrobacterium radiobacter,species,0.0,abund,0.0,6444937,1,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,373,373,Agrobacterium vitis,Agrobacterium vitis,species,0.0,abund,0.0,114117648,12,3
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,375,375,Bradyrhizobium japonicum,Bradyrhizobium japonicum,species,0.0,abund,0.0,1035569,3,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,380,380,Sinorhizobium fredii,Sinorhizobium fredii,species,0.0,abund,0.0,9980598,15,4
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,382,382,Sinorhizobium meliloti,Sinorhizobium meliloti,species,0.0,abund,0.0,7559081,46,13
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,384,384,Rhizobium leguminosarum,Rhizobium leguminosarum,species,3.5234599999999997e-13,abund,3.52346e-15,17898560,28,9
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,399,399,Neorhizobium galegae,Neorhizobium galegae,species,3.84774e-23,abund,3.84774e-25,14461065,91,1
