tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,247,247,Empedobacter brevis,Empedobacter brevis,species,0.0,abund,0.0,43496207,1,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,258,258,Sphingobacterium spiritivorum,Sphingobacterium spiritivorum,species,8.45023e-36,abund,8.45023e-38,8398387,584,248
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,263,263,Francisella tularensis,Francisella tularensis,species,4.78013e-19,abund,4.78013e-21,4567668,40,1
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,266,266,Paracoccus denitrificans,Paracoccus denitrificans,species,4.147420000000076e-21,abund,4.147420000000076e-23,11134740,781,89
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,274,274,Thermus thermophilus,Thermus thermophilus,species,0.203408,abund,0.00203408,3960793,8336,5919
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,285,285,Comamonas testosteroni,Comamonas testosteroni,species,0.0,abund,0.0,1035560,1,1
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,287,287,Pseudomonas aeruginosa,Pseudomonas aeruginosa,species,0.898431000000043,abund,0.008984310000000429,4120622,32395,25106
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,292,292,Burkholderia cepacia,Burkholderia cepacia,species,0.0,abund,0.0,20884762,17,5
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,294,294,Pseudomonas fluorescens,Pseudomonas fluorescens,species,0.0,abund,0.0,2737974,6,4
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,297,297,Hydrogenophilus thermoluteolus,Hydrogenophilus thermoluteolus,species,0.000989699,abund,9.89699e-06,12503466,743,475
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,300,300,Ectopseudomonas mendocina,Ectopseudomonas mendocina,species,0.0,abund,0.0,1035568,2,2
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,303,303,Pseudomonas putida,Pseudomonas putida,species,3.70845e-15,abund,3.70845e-17,2589687,14,5
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,305,305,Ralstonia solanacearum,Ralstonia solanacearum,species,8.317620000000001e-32,abund,8.31762e-34,6998451,8,2
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,317,317,Pseudomonas syringae,Pseudomonas syringae,species,8.248930015455004e-15,abund,8.248930015455004e-17,7497535,3114,99
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,337,337,Burkholderia glumae,Burkholderia glumae,species,2.15603e-13,abund,2.15603e-15,10398853,1861,56
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,339,339,Xanthomonas campestris,Xanthomonas campestris,species,2.1684e-42,abund,2.1684e-44,28841559,75,5
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,343,343,Xanthomonas translucens,Xanthomonas translucens,species,0.02398801,abund,0.0002398801,13780216,10376,6860
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,346,346,Xanthomonas citri,Xanthomonas citri,species,1.7182733e-20,abund,1.7182733e-22,35872144,3338,63
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,347,347,Xanthomonas oryzae,Xanthomonas oryzae,species,1.84616e-79,abund,1.84616e-81,67030685,10,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,353,353,Azotobacter chroococcum,Azotobacter chroococcum,species,0.0,abund,0.0,8125268,1,1
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,358,358,Agrobacterium tumefaciens,Agrobacterium tumefaciens,species,0.00564233,abund,5.64233e-05,14416562,2743,1645
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,373,373,Agrobacterium vitis,Agrobacterium vitis,species,0.0,abund,0.0,114117648,2,2
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,375,375,Bradyrhizobium japonicum,Bradyrhizobium japonicum,species,0.0,abund,0.0,1035569,301,1
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,380,380,Sinorhizobium fredii,Sinorhizobium fredii,species,0.0,abund,0.0,9980598,28,18
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,382,382,Sinorhizobium meliloti,Sinorhizobium meliloti,species,7.069810000000001e-32,abund,7.06981e-34,7559081,31,3
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,384,384,Rhizobium leguminosarum,Rhizobium leguminosarum,species,0.0,abund,0.0,43729100,4,3
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,399,399,Neorhizobium galegae,Neorhizobium galegae,species,0.0,abund,0.0,8632413,100,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,428,428,Methylosinus sporium,Methylosinus sporium,species,0.0,abund,0.0,18708799,3,1
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,435,435,Acetobacter aceti,Acetobacter aceti,species,0.0,abund,0.0,14962332,2,1
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,436,436,Novacetimonas hansenii,Novacetimonas hansenii,species,0.0,abund,0.0,1035541,3,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,438,438,Acetobacter pasteurianus,Acetobacter pasteurianus,species,2.3206740000001393e-12,abund,2.3206740000001394e-14,6189343,7043,7
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,446,446,Legionella pneumophila,Legionella pneumophila,species,0.021482,abund,0.00021482,10551012,4433,4334
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,449,449,Legionella hackeliae,Legionella hackeliae,species,0.0,abund,0.0,21973005,1,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,450,450,Legionella longbeachae,Legionella longbeachae,species,0.0,abund,0.0,2067778,3,1
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,454,454,Legionella israelensis,Legionella israelensis,species,0.0,abund,0.0,32836259,8,4
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,463,463,Fluoribacter dumoffii,Fluoribacter dumoffii,species,0.0,abund,0.0,2819827,2,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,470,470,Acinetobacter baumannii,Acinetobacter baumannii,species,1.61957,abund,0.0161957,7015917,99052,74161
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,478,478,Moraxella nonliquefaciens,Moraxella nonliquefaciens,species,0.0,abund,0.0,11924488,2,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,485,485,Neisseria gonorrhoeae,Neisseria gonorrhoeae,species,0.179313,abund,0.00179313,4260387,23810,262
