tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,4932,4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,species,0.05699,abund,0.05699,4932,1||4890|4891|4892|4893|4930|4932,3855,0,0,3855
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,5476,5476,Candida albicans,Candida albicans,species,0.04921,abund,0.04921,5476,1||4890|3239874|2916678|766764|5475|5476,4392,0,0,4392
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,27291,27291,Saccharomyces paradoxus,Saccharomyces paradoxus,species,3e-05,abund,3e-05,27291,1||4890|4891|4892|4893|4930|27291,2,0,0,2
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,28128,28128,Prevotella corporis,Prevotella corporis,species,8.6257,abund,8.6257,28128,1||976|200643|171549|171552|838|28128,150921,0,0,150921
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,28901,28901,Salmonella enterica,Salmonella enterica,species,0.01069,abund,0.01069,28901,1||1224|1236|91347|543|590|28901,332,0,0,332
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,39491,39491,Agathobacter rectalis,Agathobacter rectalis,species,0.0001,abund,0.0001,39491,1||1239|186801|3085636|186803|1766253|39491,2,0,0,2
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,76859,76859,Fusobacterium animalis,Fusobacterium animalis,species,0.03307,abund,0.03307,76859,1||32066|203490|203491|203492|848|76859,487,0,0,487
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,114525,114525,Saccharomyces mikatae,Saccharomyces mikatae,species,1e-05,abund,1e-05,114525,1||4890|4891|4892|4893|4930|114525,1,0,0,1
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,166486,166486,Roseburia intestinalis,Roseburia intestinalis,species,0.00023,abund,0.00023,166486,1||1239|186801|3085636|186803|841|166486,6,0,0,6
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,239935,239935,Akkermansia muciniphila,Akkermansia muciniphila,species,2.3092,abund,2.3092,239935,1||74201|203494|48461|1647988|239934|239935,39390,0,0,39390
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,301301,301301,Roseburia hominis,Roseburia hominis,species,5.10593,abund,5.10593,301301,1||1239|186801|3085636|186803|841|301301,112793,0,0,112793
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,423477,423477,Veillonella rogosae,Veillonella rogosae,species,23.96885,abund,23.96885,423477,1||1239|909932|1843489|31977|29465|423477,320770,0,0,320770
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,544580,544580,Actinomyces oris,Actinomyces oris,species,0.00031,abund,0.00031,544580,1||201174|1760|2037|2049|1654|544580,6,0,0,6
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2886375,2886375,Spiroplasma endosymbiont of Phyllotreta cruciferae,Spiroplasma endosymbiont of Phyllotreta cruciferae,species,0.01361,abund,0.01361,2886375,1||544448|31969|186328|2131|2132|2886375,126,0,0,126
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2985571,2985571,Bifidobacterium sp. KRGSERBCFTRI,Bifidobacterium sp. KRGSERBCFTRI,species,0.02162,abund,0.02162,2985571,1||201174|1760|85004|31953|1678|2985571,302,0,0,302
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,3141185,3141185,Faecalibacterium sp. i25-0019-C1,Faecalibacterium sp. i25-0019-C1,species,0.00011,abund,0.00011,3141185,1||1239|186801|186802|216572|216851|3141185,2,0,0,2
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,561,561,Escherichia,Escherichia,genus,10.1438,abund,10.1438,561,1||1224|1236|91347|543|561,0,0,321265,321265
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,590,590,Salmonella,Salmonella,genus,0.01069,abund,0.01069,590,1||1224|1236|91347|543|590,0,0,332,332
