taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
133	133	Methylocystis	Methylocystis	genus	1.14742e-05	abund	1.14742e-07	47685817	5830	941	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
138	138	Borrelia	Borrelia	genus	0.0123607958	abund	0.000123607958	5575759	34214	16329	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
146	146	Spirochaeta	Spirochaeta	genus	0.0	abund	0.0	1035567	223	168	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
157	157	Treponema	Treponema	genus	0.0009315291300000055	abund	9.315291300000055e-06	9463158	26259	8968	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
171	171	Leptospira	Leptospira	genus	0.009962969000000002	abund	9.962969000000001e-05	12188794	385570	28564	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
179	179	Leptospirillum	Leptospirillum	genus	0.0	abund	0.0	2595813	240	40	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
187	187	Aquaspirillum	Aquaspirillum	genus	0.0	abund	0.0	0	64	40	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
191	191	Azospirillum	Azospirillum	genus	0.00482844	abund	4.82844e-05	39434868	211347	76646	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
194	194	Campylobacter	Campylobacter	genus	0.04704273898	abund	0.0004704273898	6638245	317297	38724	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
209	209	Helicobacter	Helicobacter	genus	0.10826135444	abund	0.0010826135444	3274938	118345	10826	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
222	222	Achromobacter	Achromobacter	genus	8.415060000000001e-204	abund	8.415060000000001e-206	3559180	4283	1249	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
226	226	Alteromonas	Alteromonas	genus	0.00584316	abund	5.84316e-05	6501773	13973	8811	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
234	234	Brucella	Brucella	genus	0.6479861111243344	abund	0.0064798611112433435	7061239	173101	49036	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
237	237	Flavobacterium	Flavobacterium	genus	2.372089e-05	abund	2.3720890000000002e-07	3664044	9598	3985	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
262	262	Francisella	Francisella	genus	0.008703629000000001	abund	8.703629e-05	4628354	1029497	15329	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
265	265	Paracoccus	Paracoccus	genus	0.0029954753800000003	abund	2.99547538e-05	23818239	87788	9404	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
270	270	Thermus	Thermus	genus	0.05402110000000001	abund	0.0005402110000000001	3672245	146608	89625	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
279	279	Xanthobacter	Xanthobacter	genus	0.0	abund	0.0	0	682	333	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
283	283	Comamonas	Comamonas	genus	0.00270784881	abund	2.70784881e-05	1553374	48453	8750	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
286	286	Pseudomonas	Pseudomonas	genus	0.11076736029200009	abund	0.0011076736029200008	6009714	980043	89181	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
338	338	Xanthomonas	Xanthomonas	genus	0.0006083428730016228	abund	6.083428730016228e-06	24303767	195171	23948	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
352	352	Azotobacter	Azotobacter	genus	0.0	abund	0.0	5041647	852	158	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
357	357	Agrobacterium	Agrobacterium	genus	0.00378795877	abund	3.78795877e-05	16283238	64946	15889	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
374	374	Bradyrhizobium	Bradyrhizobium	genus	8.725699999999999e-57	abund	8.7257e-59	8563390	11825	3807	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
379	379	Rhizobium	Rhizobium	genus	0.00202357226	abund	2.02357226e-05	5722865	42986	9696	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
404	404	Methylobacillus	Methylobacillus	genus	0.0	abund	0.0	4142461	53	29	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
407	407	Methylobacterium	Methylobacterium	genus	0.0007536990000002395	abund	7.5369900000023956e-06	4098002	76825	2260	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
413	413	Methylococcus	Methylococcus	genus	0.0	abund	0.0	2071196	889	205	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
416	416	Methylomonas	Methylomonas	genus	0.000640173	abund	6.40173e-06	1035572	7993	1554	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
425	425	Methylosinus	Methylosinus	genus	1.0663999999999999e-34	abund	1.0664e-36	5897155	682	308	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
429	429	Methylobacter	Methylobacter	genus	3.36131e-05	abund	3.36131e-07	0	263	111	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
434	434	Acetobacter	Acetobacter	genus	0.00828939035	abund	8.28939035e-05	6986888	151424	30941	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
441	441	Gluconobacter	Gluconobacter	genus	0.000435688	abund	4.35688e-06	11883942	22080	3308	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
445	445	Legionella	Legionella	genus	0.0023451876999999997	abund	2.3451877e-05	9575041	13543	4664	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
461	461	Fluoribacter	Fluoribacter	genus	0.0	abund	0.0	7055364	335	179	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
469	469	Acinetobacter	Acinetobacter	genus	0.6126790123499999	abund	0.006126790123499999	6017296	625557	156718	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
