taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
655352	655352	                Cohaesibacter	Cohaesibacter	genus	0.0	abund	0.0	4	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
532	532	                Beijerinckia	Beijerinckia	genus	0.0	abund	0.0	3	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1156568	1156568	                Methylovirgula	Methylovirgula	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
133	133	                Methylocystis	Methylocystis	genus	0.0	abund	0.0	4	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
256616	256616	                Parvibaculum	Parvibaculum	genus	0.0	abund	0.0	3	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
234	234	                  Brucella	Brucella	genus	0.0	abund	0.0	3	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
99	99	                Ancylobacter	Ancylobacter	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
182269	182269	                Aurantimonas	Aurantimonas	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
46913	46913	                Devosia	Devosia	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
165695	165695	                Sphingobium	Sphingobium	genus	0.0	abund	0.0	29	26	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
165696	165696	                Novosphingobium	Novosphingobium	genus	0.0	abund	0.0	20	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
165697	165697	                Sphingopyxis	Sphingopyxis	genus	0.0	abund	0.0	20	20	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1434046	1434046	                Sphingorhabdus	Sphingorhabdus	genus	0.0	abund	0.0	9	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
13687	13687	                Sphingomonas	Sphingomonas	genus	0.0	abund	0.0	5	1	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1227948	1227948	                Sphingomicrobium	Sphingomicrobium	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2676233	2676233	                Sphingosinithalassobacter	Sphingosinithalassobacter	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2800686	2800686	                Tsuneonella	Tsuneonella	genus	0.0	abund	0.0	4	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2676755	2676755	                Croceibacterium	Croceibacterium	genus	0.0	abund	0.0	3	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1041	1041	                  Erythrobacter	Erythrobacter	genus	0.0	abund	0.0	3	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1855416	1855416	                Qipengyuania	Qipengyuania	genus	0.0	abund	0.0	2	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
265	265	                Paracoccus	Paracoccus	genus	0.0	abund	0.0	14	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1209946	1209946	                Roseicitreum	Roseicitreum	genus	0.0	abund	0.0	3	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
285107	285107	                Thioclava	Thioclava	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
991903	991903	                Polymorphum	Polymorphum	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2831955	2831955	                Pikeienuella	Pikeienuella	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
875170	875170	                Celeribacter	Celeribacter	genus	0.0	abund	0.0	2	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
60136	60136	                Sulfitobacter	Sulfitobacter	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
74030	74030	                Roseovarius	Roseovarius	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
93682	93682	                Roseivivax	Roseivivax	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2433	2433	                Roseobacter	Roseobacter	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
191028	191028	                Leisingera	Leisingera	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
263377	263377	                Salipiger	Salipiger	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1060	1060	                Rhodobacter	Rhodobacter	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
953	953	                  Wolbachia	Wolbachia	genus	0.0	abund	0.0	17	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
33993	33993	                Neorickettsia	Neorickettsia	genus	0.0	abund	0.0	3	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
780	780	                  Rickettsia	Rickettsia	genus	0.0	abund	0.0	2	2	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2996317	2996317	                  Candidatus Tisiphia	Candidatus Tisiphia	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
2115980	2115980	                Candidatus Phycorickettsia	Candidatus Phycorickettsia	genus	0.0	abund	0.0	3	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
198251	198251	                Candidatus Pelagibacter	Candidatus Pelagibacter	genus	0.0	abund	0.0	23	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1081	1081	                Rhodospirillum	Rhodospirillum	genus	0.0	abund	0.0	4	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
13134	13134	                Magnetospirillum	Magnetospirillum	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1231242	1231242	                Ferrovibrio	Ferrovibrio	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
1263978	1263978	                Candidatus Endolissoclinum	Candidatus Endolissoclinum	genus	0.0	abund	0.0	1	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
191	191	                Azospirillum	Azospirillum	genus	0.0	abund	0.0	3	0	DYN_0036_D14_report	DYN_0036_D14	pacbio	Kraken2	unified	Kraken2_unified
