taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
1155385	1155385	Proteiniclasticum	Proteiniclasticum	genus	0.0	abund	0.0	3691162	45	45	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1155738	1155738	Moorena	Moorena	genus	2.9999999999999997e-05	abund	3e-07	9684123	32	31	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1156568	1156568	Methylovirgula	Methylovirgula	genus	0.0	abund	0.0	4020696	18	18	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1160973	1160973	Auritidibacter	Auritidibacter	genus	0.0	abund	0.0	9474150	7	2	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1161125	1161125	Helcobacillus	Helcobacillus	genus	0.0	abund	0.0	2548098	5	5	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1161127	1161127	Murdochiella	Murdochiella	genus	0.0	abund	0.0	1671491	22	0	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1164882	1164882	Lachnoanaerobaculum	Lachnoanaerobaculum	genus	0.0	abund	0.0	2944750	146	118	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1165076	1165076	Imtechella	Imtechella	genus	0.0	abund	0.0	3113111	27	27	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1167830	1167830	Litorimonas	Litorimonas	genus	0.0	abund	0.0	2548440	12	12	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1172191	1172191	Catenovulum	Catenovulum	genus	0.0	abund	0.0	4692771	10	9	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1172428	1172428	Thermotomaculum	Thermotomaculum	genus	0.0	abund	0.0	2317141	6	6	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1175554	1175554	Candidatus_Lariskella	Candidatus Lariskella	genus	0.0	abund	0.0	1589278	3	3	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1177214	1177214	Candidatus_Profftia	Candidatus Profftia	genus	0.0	abund	0.0	1205875	26	25	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1182780	1182780	Magnetospira	Magnetospira	genus	0.0	abund	0.0	4052370	7	7	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1184396	1184396	Mesotoga	Mesotoga	genus	0.0	abund	0.0	2970806	19	19	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1184606	1184606	Austwickia	Austwickia	genus	0.0	abund	0.0	3631970	7	7	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1185408	1185408	Defluviitalea	Defluviitalea	genus	0.0	abund	0.0	3014560	37	37	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1188227	1188227	Gloeomargarita	Gloeomargarita	genus	0.0	abund	0.0	2996821	9	9	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1193324	1193324	Alkalitalea	Alkalitalea	genus	0.0	abund	0.0	4775573	14	13	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1193503	1193503	Gilliamella	Gilliamella	genus	0.0	abund	0.0	3486345	95	87	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1193515	1193515	Snodgrassella	Snodgrassella	genus	0.0	abund	0.0	2441238	258	90	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1195526	1195526	Gryllotalpicola	Gryllotalpicola	genus	0.0	abund	0.0	3677803	2	2	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1196389	1196389	Zygotorulaspora	Zygotorulaspora	genus	0.0	abund	0.0	9377958	6	6	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
