taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	sample_id	sample_id_core	assay	tool	db_mode	tool_db
821	821	Phocaeicola vulgatus	Phocaeicola vulgatus	species	1.0534	abund	1.0534	821	1||976|200643|171549|815|909656|821	103918	0	0	103918	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
823	823	Parabacteroides distasonis	Parabacteroides distasonis	species	3.39999	abund	3.39999	823	1||976|200643|171549|2005525|375288|823	334961	0	0	334961	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
831	831	Butyrivibrio fibrisolvens	Butyrivibrio fibrisolvens	species	1e-05	abund	1e-05	831	1||1239|186801|3085636|186803|830|831	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
837	837	Porphyromonas gingivalis	Porphyromonas gingivalis	species	0.00018	abund	0.00018	837	1||976|200643|171549|171551|836|837	8	0	0	8	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
851	851	Fusobacterium nucleatum	Fusobacterium nucleatum	species	5e-05	abund	5e-05	851	1||32066|203490|203491|203492|848|851	2	0	0	2	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
853	853	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii	species	0.00087	abund	0.00087	853	1||1239|186801|186802|216572|216851|853	50	0	0	50	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
865	865	Pectinatus frisingensis	Pectinatus frisingensis	species	2e-05	abund	2e-05	865	1||1239|909932|909929|1843491|864|865	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
907	907	Megasphaera elsdenii	Megasphaera elsdenii	species	4e-05	abund	4e-05	907	1||1239|909932|1843489|31977|906|907	2	0	0	2	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
959	959	Bdellovibrio bacteriovorus	Bdellovibrio bacteriovorus	species	1e-05	abund	1e-05	959	1||3018035|3031418|213481|213483|958|959	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
985	985	Cytophaga hutchinsonii	Cytophaga hutchinsonii	species	1e-05	abund	1e-05	985	1||976|768503|768507|89373|978|985	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
1006	1006	Marivirga tractuosa	Marivirga tractuosa	species	1e-05	abund	1e-05	1006	1||976|768503|768507|2762301|869806|1006	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
1008	1008	Saprospira grandis	Saprospira grandis	species	1e-05	abund	1e-05	1008	1||976|1937959|1936988|89374|1007|1008	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
1229	1229	Nitrosococcus oceani	Nitrosococcus oceani	species	1e-05	abund	1e-05	1229	1||1224|1236|135613|1046|1227|1229	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
1244	1244	Leuconostoc gelidum	Leuconostoc gelidum	species	0.00146	abund	0.00146	1244	1||1239|91061|186826|33958|1243|1244	54	0	0	54	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
1245	1245	Leuconostoc mesenteroides	Leuconostoc mesenteroides	species	0.00058	abund	0.00058	1245	1||1239|91061|186826|33958|1243|1245	22	0	0	22	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
1249	1249	Weissella paramesenteroides	Weissella paramesenteroides	species	3e-05	abund	3e-05	1249	1||1239|91061|186826|33958|46255|1249	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
1280	1280	Staphylococcus aureus	Staphylococcus aureus	species	0.00446	abund	0.00446	1280	1||1239|91061|1385|90964|1279|1280	238	0	0	238	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
1282	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	species	0.43943	abund	0.43943	1282	1||1239|91061|1385|90964|1279|1282	20860	0	0	20860	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
1283	1283	Staphylococcus haemolyticus	Staphylococcus haemolyticus	species	0.00179	abund	0.00179	1283	1||1239|91061|1385|90964|1279|1283	85	0	0	85	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
