taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
112040	112040	                    Zobellia	Zobellia	genus	0.0	abund	0.0	4	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
561367	561367	                    Salinimicrobium	Salinimicrobium	genus	0.0	abund	0.0	4	1	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
449810	449810	                    Lutimonas	Lutimonas	genus	0.0	abund	0.0	3	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
111500	111500	                    Allomuricauda	Allomuricauda	genus	0.0	abund	0.0	3	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
225842	225842	                    Formosa	Formosa	genus	0.0	abund	0.0	3	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
1209327	1209327	                    Flavivirga	Flavivirga	genus	0.0	abund	0.0	3	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
221065	221065	                    Kordia	Kordia	genus	0.0	abund	0.0	3	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
178469	178469	                    Arenibacter	Arenibacter	genus	0.0	abund	0.0	3	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2706948	2706948	                    Aureibaculum	Aureibaculum	genus	0.0	abund	0.0	3	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2987594	2987594	                    Rasiella	Rasiella	genus	0.0	abund	0.0	3	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
326319	326319	                    Dokdonia	Dokdonia	genus	0.0	abund	0.0	3	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
417127	417127	                    Zunongwangia	Zunongwangia	genus	0.0	abund	0.0	2	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2049301	2049301	                    Changchengzhania	Changchengzhania	genus	0.0	abund	0.0	2	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
216431	216431	                    Croceibacter	Croceibacter	genus	0.0	abund	0.0	2	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
1649495	1649495	                    Seonamhaeicola	Seonamhaeicola	genus	0.0	abund	0.0	2	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
1287916	1287916	                    Euzebyella	Euzebyella	genus	0.0	abund	0.0	2	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
343334	343334	                    Costertonia	Costertonia	genus	0.0	abund	0.0	2	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
3400333	3400333	                    Thalassobellus	Thalassobellus	genus	0.0	abund	0.0	2	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
561555	561555	                    Zhouia	Zhouia	genus	0.0	abund	0.0	2	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2967089	2967089	                    Abyssalbus	Abyssalbus	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2861660	2861660	                    Pseudalgibacter	Pseudalgibacter	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
244698	244698	                    Gillisia	Gillisia	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2831916	2831916	                    Pukyongia	Pukyongia	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
358023	358023	                    Lutibacter	Lutibacter	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
369400	369400	                    Flaviramulus	Flaviramulus	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
83612	83612	                    Psychroflexus	Psychroflexus	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2058174	2058174	                    Antarcticibacterium	Antarcticibacterium	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
379070	379070	                    Gilvibacter	Gilvibacter	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
1518147	1518147	                    Wenyingzhuangia	Wenyingzhuangia	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
1434045	1434045	                    Sinomicrobium	Sinomicrobium	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
762641	762641	                    Muriicola	Muriicola	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
389486	389486	                    Sediminicola	Sediminicola	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
34098	34098	                    Blattabacterium	Blattabacterium	genus	0.0	abund	0.0	57	1	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
332102	332102	                    Fluviicola	Fluviicola	genus	0.0	abund	0.0	16	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
3024544	3024544	                    Paracrocinitomix	Paracrocinitomix	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
336809	336809	                    Candidatus Karelsulcia	Candidatus Karelsulcia	genus	0.0	abund	0.0	4	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2828338	2828338	                    Croceimicrobium	Croceimicrobium	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
423349	423349	                    Mucilaginibacter	Mucilaginibacter	genus	0.01	abund	0.01	758	11	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
28453	28453	                    Sphingobacterium	Sphingobacterium	genus	0.0	abund	0.0	430	45	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
84567	84567	                    Pedobacter	Pedobacter	genus	0.0	abund	0.0	363	15	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
376469	376469	                    Olivibacter	Olivibacter	genus	0.0	abund	0.0	26	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
929509	929509	                    Solitalea	Solitalea	genus	0.0	abund	0.0	15	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
1649482	1649482	                    Pseudopedobacter	Pseudopedobacter	genus	0.0	abund	0.0	6	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
1773450	1773450	                    Anseongella	Anseongella	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
3088889	3088889	                    Aurantibacillus	Aurantibacillus	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
396811	396811	                    Fulvivirga	Fulvivirga	genus	0.01	abund	0.01	538	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
1433993	1433993	                    Chryseolinea	Chryseolinea	genus	0.0	abund	0.0	5	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
89966	89966	                    Hymenobacter	Hymenobacter	genus	0.0	abund	0.0	71	8	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
323449	323449	                    Pontibacter	Pontibacter	genus	0.0	abund	0.0	39	3	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
299566	299566	                    Adhaeribacter	Adhaeribacter	genus	0.0	abund	0.0	5	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
1379908	1379908	                    Rufibacter	Rufibacter	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
1649474	1649474	                    Nibribacter	Nibribacter	genus	0.0	abund	0.0	1	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
59739	59739	                    Flammeovirga	Flammeovirga	genus	0.0	abund	0.0	98	87	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
3051458	3051458	                    Chondrinema	Chondrinema	genus	0.0	abund	0.0	7	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
1649461	1649461	                    Imperialibacter	Imperialibacter	genus	0.0	abund	0.0	2	1	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
120831	120831	                    Dyadobacter	Dyadobacter	genus	0.0	abund	0.0	76	1	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
861914	861914	                    Fibrella	Fibrella	genus	0.0	abund	0.0	7	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
105	105	                    Runella	Runella	genus	0.0	abund	0.0	4	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2674996	2674996	                    Tellurirhabdus	Tellurirhabdus	genus	0.0	abund	0.0	3	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
332157	332157	                    Larkinella	Larkinella	genus	0.0	abund	0.0	2	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
390846	390846	                    Echinicola	Echinicola	genus	0.0	abund	0.0	30	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
246875	246875	                    Algoriphagus	Algoriphagus	genus	0.0	abund	0.0	14	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
1511649	1511649	                    Mongoliitalea	Mongoliitalea	genus	0.0	abund	0.0	5	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
68288	68288	                    Cyclobacterium	Cyclobacterium	genus	0.0	abund	0.0	3	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
280472	280472	                    Aquiflexum	Aquiflexum	genus	0.0	abund	0.0	2	0	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
