taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	sample_id	sample_id_core	assay	tool	db_mode	tool_db
22	22	Shewanella	Shewanella	genus	4e-05	abund	4e-05	22	1||1224|1236|135622|267890|22	0	0	4	4	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
105	105	Runella	Runella	genus	1e-05	abund	1e-05	105	1||976|768503|768507|2896860|105	0	0	1	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
107	107	Spirosoma	Spirosoma	genus	1e-05	abund	1e-05	107	1||976|768503|768507|89373|107	0	0	1	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
194	194	Campylobacter	Campylobacter	genus	0.00013	abund	0.00013	194	1||29547|3031852|213849|72294|194	0	0	5	5	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
209	209	Helicobacter	Helicobacter	genus	3e-05	abund	3e-05	209	1||29547|3031852|213849|72293|209	0	0	1	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
222	222	Achromobacter	Achromobacter	genus	1e-05	abund	1e-05	222	1||1224|28216|80840|506|222	0	0	1	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
226	226	Alteromonas	Alteromonas	genus	1e-05	abund	1e-05	226	1||1224|1236|135622|72275|226	0	0	1	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
237	237	Flavobacterium	Flavobacterium	genus	3e-05	abund	3e-05	237	1||976|117743|200644|49546|237	0	0	3	3	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
286	286	Pseudomonas	Pseudomonas	genus	0.00126	abund	0.00126	286	1||1224|1236|72274|135621|286	0	0	173	173	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
338	338	Xanthomonas	Xanthomonas	genus	2e-05	abund	2e-05	338	1||1224|1236|135614|32033|338	0	0	2	2	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
357	357	Agrobacterium	Agrobacterium	genus	2e-05	abund	2e-05	357	1||1224|28211|356|82115|357	0	0	2	2	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
379	379	Rhizobium	Rhizobium	genus	1e-05	abund	1e-05	379	1||1224|28211|356|82115|379	0	0	2	2	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
445	445	Legionella	Legionella	genus	3e-05	abund	3e-05	445	1||1224|1236|118969|444|445	0	0	2	2	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
469	469	Acinetobacter	Acinetobacter	genus	1e-05	abund	1e-05	469	1||1224|1236|2887326|468|469	0	0	1	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
482	482	Neisseria	Neisseria	genus	2e-05	abund	2e-05	482	1||1224|28216|206351|481|482	0	0	1	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
507	507	Alcaligenes	Alcaligenes	genus	1e-05	abund	1e-05	507	1||1224|28216|80840|506|507	0	0	1	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
544	544	Citrobacter	Citrobacter	genus	0.09805	abund	0.09805	544	1||1224|1236|91347|543|544	0	0	10916	10916	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
547	547	Enterobacter	Enterobacter	genus	0.00292	abund	0.00292	547	1||1224|1236|91347|543|547	0	0	316	316	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
551	551	Erwinia	Erwinia	genus	6e-05	abund	6e-05	551	1||1224|1236|91347|1903409|551	0	0	5	5	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
561	561	Escherichia	Escherichia	genus	0.7361	abund	0.7361	561	1||1224|1236|91347|543|561	0	0	80389	80389	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
570	570	Klebsiella	Klebsiella	genus	0.01624	abund	0.01624	570	1||1224|1236|91347|543|570	0	0	1929	1929	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
581	581	Morganella	Morganella	genus	0.00038	abund	0.00038	581	1||1224|1236|91347|1903414|581	0	0	39	39	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
583	583	Proteus	Proteus	genus	8e-05	abund	8e-05	583	1||1224|1236|91347|1903414|583	0	0	8	8	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
586	586	Providencia	Providencia	genus	1e-05	abund	1e-05	586	1||1224|1236|91347|1903414|586	0	0	1	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
