taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
44674	44674	Sulfurospirillum barnesii	Sulfurospirillum barnesii	species	0.0	abund	0.0	1035568	1	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
44742	44742	Desulfovibrio fairfieldensis	Desulfovibrio fairfieldensis	species	0.0	abund	0.0	1035542	1	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45151	45151	Pyrenophora tritici-repentis	Pyrenophora tritici-repentis	species	0.0	abund	0.0	53932146	84	33	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45242	45242	Capnocytophaga granulosa	Capnocytophaga granulosa	species	0.0	abund	0.0	2079064	1	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45254	45254	Dysgonomonas capnocytophagoides	Dysgonomonas capnocytophagoides	species	0.0	abund	0.0	7298468	2	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45285	45285	Eremothecium cymbalariae	Eremothecium cymbalariae	species	0.0	abund	0.0	19753013	24	13	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45286	45286	Eremothecium sinecaudum	Eremothecium sinecaudum	species	0.0	abund	0.0	7198614	7	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45361	45361	Mesomycoplasma conjunctivae	Mesomycoplasma conjunctivae	species	0.0	abund	0.0	846214	2	2	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45363	45363	Metamycoplasma alkalescens	Metamycoplasma alkalescens	species	0.0	abund	0.0	821059	2	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45462	45462	Brevibacillus borstelensis	Brevibacillus borstelensis	species	0.0	abund	0.0	7302061	1	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45495	45495	Methylophaga marina	Methylophaga marina	species	0.0	abund	0.0	18606038	8	2	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45497	45497	Schnuerera ultunensis	Schnuerera ultunensis	species	0.0	abund	0.0	1035535	2	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45498	45498	Helicobacter cholecystus	Helicobacter cholecystus	species	0.0	abund	0.0	1035543	1	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45610	45610	Psychrobacter urativorans	Psychrobacter urativorans	species	0.0	abund	0.0	25734124	21	17	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45617	45617	Human endogenous retrovirus K	Human endogenous retrovirus K	species	0.0	abund	0.0	9472	75	75	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45634	45634	Streptococcus cristatus	Streptococcus cristatus	species	0.0	abund	0.0	2071086	2	2	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45655	45655	Desulfonema magnum	Desulfonema magnum	species	0.0	abund	0.0	1035557	1	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45658	45658	Vibrio scophthalmi	Vibrio scophthalmi	species	0.0	abund	0.0	51356259	19	10	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45668	45668	Halobacillus litoralis	Halobacillus litoralis	species	0.0	abund	0.0	14637800	30	28	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
45972	45972	Staphylococcus pasteuri	Staphylococcus pasteuri	species	0.0	abund	0.0	1035572	11	2	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46124	46124	Granulicatella adiacens	Granulicatella adiacens	species	0.0	abund	0.0	1035554	57	54	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46125	46125	Abiotrophia defectiva	Abiotrophia defectiva	species	0.0	abund	0.0	1035556	4	4	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46126	46126	Staphylococcus chromogenes	Staphylococcus chromogenes	species	0.0	abund	0.0	13377883	6	2	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46127	46127	Staphylococcus felis	Staphylococcus felis	species	0.0	abund	0.0	31879557	51	11	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46173	46173	Nonomuraea fastidiosa	Nonomuraea fastidiosa	species	0.0	abund	0.0	5399799	1	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46234	46234	Anabaena sp. 90	Anabaena sp. 90	species	0.0	abund	0.0	27458646	5	4	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46257	46257	Pseudomonas avellanae	Pseudomonas avellanae	species	0.0	abund	0.0	12922982	17	4	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46351	46351	Mycolicibacterium hassiacum	Mycolicibacterium hassiacum	species	0.0	abund	0.0	1035528	1	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46429	46429	Sphingobium chlorophenolicum	Sphingobium chlorophenolicum	species	0.0	abund	0.0	4292097	2	2	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46503	46503	Parabacteroides merdae	Parabacteroides merdae	species	0.0021753700000000003	abund	2.17537e-05	4142448	22114	3636	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46506	46506	Bacteroides stercoris	Bacteroides stercoris	species	0.0	abund	0.0	1035556	6	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46507	46507	Ezakiella coagulans	Ezakiella coagulans	species	0.0	abund	0.0	1035554	7	7	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46541	46541	Thermosipho melanesiensis	Thermosipho melanesiensis	species	2.02881e-46	abund	2.02881e-48	3137429	312	5	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46632	46632	Picrophilus oshimae	Picrophilus oshimae	species	0.0	abund	0.0	1035571	1	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46677	46677	Pseudomonas agarici	Pseudomonas agarici	species	0.0	abund	0.0	3944092	1	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46679	46679	Pseudomonas mucidolens	Pseudomonas mucidolens	species	0.0	abund	0.0	8962867	157	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46680	46680	Pseudomonas nitroreducens	Pseudomonas nitroreducens	species	0.0	abund	0.0	7840520	70	18	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
46867	46867	Clostridium chauvoei	Clostridium chauvoei	species	0.0	abund	0.0	1622424	49	12	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
47304	47304	Metallosphaera prunae	Metallosphaera prunae	species	0.0	abund	0.0	4773660	2	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
47466	47466	Borrelia miyamotoi	Borrelia miyamotoi	species	0.0	abund	0.0	937966	178	104	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
47490	47490	Thermoanaerobacterium aotearoense	Thermoanaerobacterium aotearoense	species	0.0	abund	0.0	1035541	1	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
47493	47493	Limosilactobacillus panis	Limosilactobacillus panis	species	0.0	abund	0.0	24438319	5	2	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
47589	47589	Rickettsia peacockii	Rickettsia peacockii	species	0.0	abund	0.0	1061973	2	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
47671	47671	Lautropia mirabilis	Lautropia mirabilis	species	0.0	abund	0.0	1035558	2	2	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
47678	47678	Bacteroides caccae	Bacteroides caccae	species	0.0	abund	0.0	1765082	23	2	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
47679	47679	Sporomusa sphaeroides	Sporomusa sphaeroides	species	0.0	abund	0.0	10131034	10	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
47715	47715	Lacticaseibacillus rhamnosus	Lacticaseibacillus rhamnosus	species	0.000247224	abund	2.47224e-06	8860231	2024	1516	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
