taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	sample_id	sample_id_core	assay	tool	db_mode	tool_db
1743	1743	Propionibacterium	Propionibacterium	genus	0.0068	abund	0.0068	1743	1||201174|1760|85009|31957|1743	0	0	110	110	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
2172	2172	Methanobrevibacter	Methanobrevibacter	genus	2.40312	abund	2.40312	2172	1||28890|183925|2158|2159|2172	0	0	25254	25254	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
28050	28050	Lachnospira	Lachnospira	genus	0.0544	abund	0.0544	28050	1||1239|186801|3085636|186803|28050	0	0	1014	1014	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
28250	28250	Ornithobacterium	Ornithobacterium	genus	7e-05	abund	7e-05	28250	1||976|117743|200644|2762318|28250	0	0	1	1	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
29465	29465	Veillonella	Veillonella	genus	0.00931	abund	0.00931	29465	1||1239|909932|1843489|31977|29465	0	0	122	122	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
32207	32207	Rothia	Rothia	genus	0.01601	abund	0.01601	32207	1||201174|1760|85006|1268|32207	0	0	226	226	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
33024	33024	Phascolarctobacterium	Phascolarctobacterium	genus	0.0002	abund	0.0002	33024	1||1239|909932|1843488|909930|33024	0	0	3	3	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
33042	33042	Coprococcus	Coprococcus	genus	0.00146	abund	0.00146	33042	1||1239|186801|3085636|186803|33042	0	0	30	30	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
34037	34037	Rahnella	Rahnella	genus	3e-05	abund	3e-05	34037	1||1224|1236|91347|1903411|34037	0	0	1	1	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
47670	47670	Lautropia	Lautropia	genus	0.00015	abund	0.00015	47670	1||1224|28216|80840|119060|47670	0	0	3	3	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
57495	57495	Dermacoccus	Dermacoccus	genus	5e-05	abund	5e-05	57495	1||201174|1760|85006|145357|57495	0	0	1	1	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
61170	61170	Holdemania	Holdemania	genus	0.00185	abund	0.00185	61170	1||1239|526524|526525|128827|61170	0	0	47	47	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
83654	83654	Leclercia	Leclercia	genus	0.00013	abund	0.00013	83654	1||1224|1236|91347|543|83654	0	0	4	4	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
84111	84111	Eggerthella	Eggerthella	genus	0.01006	abund	0.01006	84111	1||201174|84998|1643822|1643826|84111	0	0	210	210	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
86331	86331	Mogibacterium	Mogibacterium	genus	0.00617	abund	0.00617	86331	1||1239|186801|3082720|543314|86331	0	0	129	129	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
102106	102106	Collinsella	Collinsella	genus	0.11799	abund	0.11799	102106	1||201174|84998|84999|84107|102106	0	0	1641	1641	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
117563	117563	Granulicatella	Granulicatella	genus	9e-05	abund	9e-05	117563	1||1239|91061|186826|186828|117563	0	0	1	1	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
133925	133925	Olsenella	Olsenella	genus	0.00015	abund	0.00015	133925	1||201174|84998|84999|1643824|133925	0	0	2	2	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
150022	150022	Finegoldia	Finegoldia	genus	0.00197	abund	0.00197	150022	1||1239|1737404|1737405|1570339|150022	0	0	23	23	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
