taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	sample_id	sample_id_core	assay	tool	db_mode	tool_db
237	237	Flavobacterium	Flavobacterium	genus	6e-05	abund	6e-05	237	1||976|117743|200644|49546|237	0	0	20	20	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
262	262	Francisella	Francisella	genus	1e-05	abund	1e-05	262	1||1224|1236|72273|34064|262	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
265	265	Paracoccus	Paracoccus	genus	1e-05	abund	1e-05	265	1||1224|28211|204455|31989|265	0	0	3	3	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
283	283	Comamonas	Comamonas	genus	1e-05	abund	1e-05	283	1||1224|28216|80840|80864|283	0	0	6	6	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
286	286	Pseudomonas	Pseudomonas	genus	0.01156	abund	0.01156	286	1||1224|1236|72274|135621|286	0	0	5775	5775	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
338	338	Xanthomonas	Xanthomonas	genus	3e-05	abund	3e-05	338	1||1224|1236|135614|32033|338	0	0	10	10	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
352	352	Azotobacter	Azotobacter	genus	1e-05	abund	1e-05	352	1||1224|1236|72274|135621|352	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
357	357	Agrobacterium	Agrobacterium	genus	4e-05	abund	4e-05	357	1||1224|28211|356|82115|357	0	0	18	18	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
374	374	Bradyrhizobium	Bradyrhizobium	genus	5e-05	abund	5e-05	374	1||1224|28211|356|41294|374	0	0	38	38	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
379	379	Rhizobium	Rhizobium	genus	5e-05	abund	5e-05	379	1||1224|28211|356|82115|379	0	0	31	31	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
407	407	Methylobacterium	Methylobacterium	genus	2e-05	abund	2e-05	407	1||1224|28211|356|119045|407	0	0	12	12	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
413	413	Methylococcus	Methylococcus	genus	0.0	abund	0.0	413	1||1224|1236|135618|403|413	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
416	416	Methylomonas	Methylomonas	genus	1e-05	abund	1e-05	416	1||1224|1236|135618|403|416	0	0	3	3	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
425	425	Methylosinus	Methylosinus	genus	0.0	abund	0.0	425	1||1224|28211|356|31993|425	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
429	429	Methylobacter	Methylobacter	genus	1e-05	abund	1e-05	429	1||1224|1236|135618|403|429	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
434	434	Acetobacter	Acetobacter	genus	2e-05	abund	2e-05	434	1||1224|28211|3120395|433|434	0	0	5	5	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
441	441	Gluconobacter	Gluconobacter	genus	1e-05	abund	1e-05	441	1||1224|28211|3120395|433|441	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
445	445	Legionella	Legionella	genus	1e-05	abund	1e-05	445	1||1224|1236|118969|444|445	0	0	4	4	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
469	469	Acinetobacter	Acinetobacter	genus	0.00033	abund	0.00033	469	1||1224|1236|2887326|468|469	0	0	103	103	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
475	475	Moraxella	Moraxella	genus	2e-05	abund	2e-05	475	1||1224|1236|2887326|468|475	0	0	4	4	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
482	482	Neisseria	Neisseria	genus	0.00012	abund	0.00012	482	1||1224|28216|206351|481|482	0	0	22	22	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
497	497	Psychrobacter	Psychrobacter	genus	2e-05	abund	2e-05	497	1||1224|1236|2887326|468|497	0	0	6	6	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
507	507	Alcaligenes	Alcaligenes	genus	1e-05	abund	1e-05	507	1||1224|28216|80840|506|507	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
517	517	Bordetella	Bordetella	genus	2e-05	abund	2e-05	517	1||1224|28216|80840|506|517	0	0	7	7	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
532	532	Beijerinckia	Beijerinckia	genus	1e-05	abund	1e-05	532	1||1224|28211|356|45404|532	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
535	535	Chromobacterium	Chromobacterium	genus	0.0	abund	0.0	535	1||1224|28216|206351|1499392|535	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
538	538	Eikenella	Eikenella	genus	3e-05	abund	3e-05	538	1||1224|28216|206351|481|538	0	0	6	6	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
544	544	Citrobacter	Citrobacter	genus	0.00836	abund	0.00836	544	1||1224|1236|91347|543|544	0	0	3476	3476	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
547	547	Enterobacter	Enterobacter	genus	0.01149	abund	0.01149	547	1||1224|1236|91347|543|547	0	0	4649	4649	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
551	551	Erwinia	Erwinia	genus	3e-05	abund	3e-05	551	1||1224|1236|91347|1903409|551	0	0	4	4	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
561	561	Escherichia	Escherichia	genus	0.18496	abund	0.18496	561	1||1224|1236|91347|543|561	0	0	75578	75578	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
570	570	Klebsiella	Klebsiella	genus	0.00724	abund	0.00724	570	1||1224|1236|91347|543|570	0	0	3218	3218	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
579	579	Kluyvera	Kluyvera	genus	1e-05	abund	1e-05	579	1||1224|1236|91347|543|579	0	0	3	3	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
581	581	Morganella	Morganella	genus	2e-05	abund	2e-05	581	1||1224|1236|91347|1903414|581	0	0	6	6	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
583	583	Proteus	Proteus	genus	1e-05	abund	1e-05	583	1||1224|1236|91347|1903414|583	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
586	586	Providencia	Providencia	genus	1e-05	abund	1e-05	586	1||1224|1236|91347|1903414|586	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
590	590	Salmonella	Salmonella	genus	8e-05	abund	8e-05	590	1||1224|1236|91347|543|590	0	0	32	32	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
613	613	Serratia	Serratia	genus	3e-05	abund	3e-05	613	1||1224|1236|91347|1903411|613	0	0	11	11	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
