taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	sample_id	sample_id_core	assay	tool	db_mode	tool_db
10	10	Cellvibrio	Cellvibrio	genus	0.0	abund	0.0	10	1||1224|1236|1706369|1706371|10	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
16	16	Methylophilus	Methylophilus	genus	1e-05	abund	1e-05	16	1||1224|28216|32003|32011|16	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
20	20	Phenylobacterium	Phenylobacterium	genus	1e-05	abund	1e-05	20	1||1224|28211|204458|76892|20	0	0	3	3	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
22	22	Shewanella	Shewanella	genus	5e-05	abund	5e-05	22	1||1224|1236|135622|267890|22	0	0	18	18	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
32	32	Myxococcus	Myxococcus	genus	1e-05	abund	1e-05	32	1||2818505|32015|29|31|32	0	0	7	7	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
40	40	Stigmatella	Stigmatella	genus	0.0	abund	0.0	40	1||2818505|32015|29|39|40	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
47	47	Archangium	Archangium	genus	1e-05	abund	1e-05	47	1||2818505|32015|29|39|47	0	0	12	12	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
50	50	Chondromyces	Chondromyces	genus	0.0	abund	0.0	50	1||2818505||3031712|49|50	0	0	3	3	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
53	53	Nannocystis	Nannocystis	genus	0.0	abund	0.0	53	1||2818505||3031713|224463|53	0	0	3	3	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
55	55	Polyangium	Polyangium	genus	0.0	abund	0.0	55	1||2818505||3031712|49|55	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
68	68	Lysobacter	Lysobacter	genus	2e-05	abund	2e-05	68	1||1224|1236|135614|32033|68	0	0	7	7	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
75	75	Caulobacter	Caulobacter	genus	1e-05	abund	1e-05	75	1||1224|28211|204458|76892|75	0	0	3	3	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
81	81	Hyphomicrobium	Hyphomicrobium	genus	1e-05	abund	1e-05	81	1||1224|28211|356|45401|81	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
99	99	Ancylobacter	Ancylobacter	genus	0.0	abund	0.0	99	1||1224|28211|356|335928|99	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
105	105	Runella	Runella	genus	0.0	abund	0.0	105	1||976|768503|768507|2896860|105	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
107	107	Spirosoma	Spirosoma	genus	3e-05	abund	3e-05	107	1||976|768503|768507|89373|107	0	0	7	7	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
113	113	Gemmata	Gemmata	genus	0.0	abund	0.0	113	1||203682|203683|2691355|1914233|113	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
118	118	Planctomyces	Planctomyces	genus	0.0	abund	0.0	118	1||203682|203683|112|126|118	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
123	123	Pirellula	Pirellula	genus	0.0	abund	0.0	123	1||203682|203683|2691354|2691357|123	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
133	133	Methylocystis	Methylocystis	genus	1e-05	abund	1e-05	133	1||1224|28211|356|31993|133	0	0	3	3	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
157	157	Treponema	Treponema	genus	9e-05	abund	9e-05	157	1||203691|203692|136|2845253|157	0	0	20	20	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
171	171	Leptospira	Leptospira	genus	1e-05	abund	1e-05	171	1||203691|203692|1643688|170|171	0	0	3	3	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
191	191	Azospirillum	Azospirillum	genus	1e-05	abund	1e-05	191	1||1224|28211|204441|2829815|191	0	0	7	7	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
194	194	Campylobacter	Campylobacter	genus	0.00562	abund	0.00562	194	1||29547|3031852|213849|72294|194	0	0	836	836	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
209	209	Helicobacter	Helicobacter	genus	2e-05	abund	2e-05	209	1||29547|3031852|213849|72293|209	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
222	222	Achromobacter	Achromobacter	genus	2e-05	abund	2e-05	222	1||1224|28216|80840|506|222	0	0	11	11	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
226	226	Alteromonas	Alteromonas	genus	1e-05	abund	1e-05	226	1||1224|1236|135622|72275|226	0	0	5	5	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
234	234	Brucella	Brucella	genus	3e-05	abund	3e-05	234	1||1224|28211|356|118882|234	0	0	10	10	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
237	237	Flavobacterium	Flavobacterium	genus	5e-05	abund	5e-05	237	1||976|117743|200644|49546|237	0	0	18	18	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
262	262	Francisella	Francisella	genus	1e-05	abund	1e-05	262	1||1224|1236|72273|34064|262	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
265	265	Paracoccus	Paracoccus	genus	2e-05	abund	2e-05	265	1||1224|28211|204455|31989|265	0	0	6	6	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
279	279	Xanthobacter	Xanthobacter	genus	0.0	abund	0.0	279	1||1224|28211|356|335928|279	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
283	283	Comamonas	Comamonas	genus	1e-05	abund	1e-05	283	1||1224|28216|80840|80864|283	0	0	6	6	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
286	286	Pseudomonas	Pseudomonas	genus	0.00409	abund	0.00409	286	1||1224|1236|72274|135621|286	0	0	1919	1919	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
338	338	Xanthomonas	Xanthomonas	genus	3e-05	abund	3e-05	338	1||1224|1236|135614|32033|338	0	0	10	10	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
352	352	Azotobacter	Azotobacter	genus	1e-05	abund	1e-05	352	1||1224|1236|72274|135621|352	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
357	357	Agrobacterium	Agrobacterium	genus	5e-05	abund	5e-05	357	1||1224|28211|356|82115|357	0	0	22	22	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
374	374	Bradyrhizobium	Bradyrhizobium	genus	6e-05	abund	6e-05	374	1||1224|28211|356|41294|374	0	0	45	45	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
379	379	Rhizobium	Rhizobium	genus	6e-05	abund	6e-05	379	1||1224|28211|356|82115|379	0	0	34	34	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
407	407	Methylobacterium	Methylobacterium	genus	2e-05	abund	2e-05	407	1||1224|28211|356|119045|407	0	0	9	9	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
413	413	Methylococcus	Methylococcus	genus	0.0	abund	0.0	413	1||1224|1236|135618|403|413	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
416	416	Methylomonas	Methylomonas	genus	1e-05	abund	1e-05	416	1||1224|1236|135618|403|416	0	0	4	4	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
429	429	Methylobacter	Methylobacter	genus	1e-05	abund	1e-05	429	1||1224|1236|135618|403|429	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
434	434	Acetobacter	Acetobacter	genus	3e-05	abund	3e-05	434	1||1224|28211|3120395|433|434	0	0	8	8	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
441	441	Gluconobacter	Gluconobacter	genus	1e-05	abund	1e-05	441	1||1224|28211|3120395|433|441	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
445	445	Legionella	Legionella	genus	1e-05	abund	1e-05	445	1||1224|1236|118969|444|445	0	0	4	4	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
469	469	Acinetobacter	Acinetobacter	genus	0.00019	abund	0.00019	469	1||1224|1236|2887326|468|469	0	0	58	58	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
475	475	Moraxella	Moraxella	genus	1e-05	abund	1e-05	475	1||1224|1236|2887326|468|475	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
482	482	Neisseria	Neisseria	genus	0.00012	abund	0.00012	482	1||1224|28216|206351|481|482	0	0	22	22	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
497	497	Psychrobacter	Psychrobacter	genus	1e-05	abund	1e-05	497	1||1224|1236|2887326|468|497	0	0	3	3	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
507	507	Alcaligenes	Alcaligenes	genus	1e-05	abund	1e-05	507	1||1224|28216|80840|506|507	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
517	517	Bordetella	Bordetella	genus	2e-05	abund	2e-05	517	1||1224|28216|80840|506|517	0	0	8	8	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
532	532	Beijerinckia	Beijerinckia	genus	1e-05	abund	1e-05	532	1||1224|28211|356|45404|532	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
535	535	Chromobacterium	Chromobacterium	genus	1e-05	abund	1e-05	535	1||1224|28216|206351|1499392|535	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
538	538	Eikenella	Eikenella	genus	3e-05	abund	3e-05	538	1||1224|28216|206351|481|538	0	0	6	6	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
541	541	Zymomonas	Zymomonas	genus	1e-05	abund	1e-05	541	1||1224|28211|204457|2844881|541	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
544	544	Citrobacter	Citrobacter	genus	0.00881	abund	0.00881	544	1||1224|1236|91347|543|544	0	0	3500	3500	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
547	547	Enterobacter	Enterobacter	genus	0.01155	abund	0.01155	547	1||1224|1236|91347|543|547	0	0	4638	4638	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
