taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
2816884	2816884	Qingshengfaniella	Qingshengfaniella	genus	0.0	abund	0.0	3928515	3	3	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2818469	2818469	Fuscovulum	Fuscovulum	genus	0.0	abund	0.0	3945553	11	11	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2821512	2821512	Algihabitans	Algihabitans	genus	0.0	abund	0.0	4739774	6	6	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2822114	2822114	Chlamydiifrater	Chlamydiifrater	genus	0.0	abund	0.0	1805421	2	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2822394	2822394	Patiriisocius	Patiriisocius	genus	0.0	abund	0.0	3355505	51	51	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2822410	2822410	Methylotuvimicrobium	Methylotuvimicrobium	genus	0.0	abund	0.0	4987880	29	25	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2823232	2823232	Allosphingosinicella	Allosphingosinicella	genus	0.0	abund	0.0	2807253	2	2	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2824158	2824158	Aquirhabdus	Aquirhabdus	genus	0.0	abund	0.0	3777352	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2827482	2827482	Caenibius	Caenibius	genus	0.0	abund	0.0	3924783	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2828338	2828338	Croceimicrobium	Croceimicrobium	genus	0.0	abund	0.0	4035598	3	3	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2828348	2828348	Occultella	Occultella	genus	0.0	abund	0.0	5648255	3	3	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2831443	2831443	Heliomicrobium	Heliomicrobium	genus	0.0	abund	0.0	3075407	4	4	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2831665	2831665	Candidatus_Mycosynbacter	Candidatus Mycosynbacter	genus	0.0	abund	0.0	1081308	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2831916	2831916	Pukyongia	Pukyongia	genus	0.0	abund	0.0	3182272	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2831925	2831925	Pukyongiella	Pukyongiella	genus	0.0	abund	0.0	3892138	34	34	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2834348	2834348	Caproicibacterium	Caproicibacterium	genus	0.0	abund	0.0	2559484	155	29	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2834378	2834378	Entomospira	Entomospira	genus	0.0	abund	0.0	2334952	3	2	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2834759	2834759	Flocculibacter	Flocculibacter	genus	0.0	abund	0.0	3973578	3	3	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2836216	2836216	Phnomibacter	Phnomibacter	genus	0.0	abund	0.0	4372196	2	2	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2837485	2837485	Evansella	Evansella	genus	0.0	abund	0.0	4792708	15	15	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2837502	2837502	Ectobacillus	Ectobacillus	genus	0.0	abund	0.0	3893080	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2837503	2837503	Gottfriedia	Gottfriedia	genus	0.0	abund	0.0	4690333	2	2	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2837504	2837504	Heyndrickxia	Heyndrickxia	genus	0.0	abund	0.0	3938476	43	25	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2837506	2837506	Niallia	Niallia	genus	0.0	abund	0.0	5364940	71	63	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2837507	2837507	Robertmurraya	Robertmurraya	genus	0.0	abund	0.0	4820065	3	3	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
