taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	sample_id	sample_id_core	assay	tool	db_mode	tool_db
194	194	Campylobacter	Campylobacter	genus	0.00555	abund	0.00555	194	1||29547|3031852|213849|72294|194	0	0	63	63	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
286	286	Pseudomonas	Pseudomonas	genus	0.00208	abund	0.00208	286	1||1224|1236|72274|135621|286	0	0	74	74	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
544	544	Citrobacter	Citrobacter	genus	0.01008	abund	0.01008	544	1||1224|1236|91347|543|544	0	0	326	326	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
547	547	Enterobacter	Enterobacter	genus	0.01199	abund	0.01199	547	1||1224|1236|91347|543|547	0	0	377	377	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
561	561	Escherichia	Escherichia	genus	0.20714	abund	0.20714	561	1||1224|1236|91347|543|561	0	0	6577	6577	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
570	570	Klebsiella	Klebsiella	genus	0.00602	abund	0.00602	570	1||1224|1236|91347|543|570	0	0	208	208	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
590	590	Salmonella	Salmonella	genus	0.0001	abund	0.0001	590	1||1224|1236|91347|543|590	0	0	3	3	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
620	620	Shigella	Shigella	genus	3e-05	abund	3e-05	620	1||1224|1236|91347|543|620	0	0	1	1	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
724	724	Haemophilus	Haemophilus	genus	0.00189	abund	0.00189	724	1||1224|1236|135625|712|724	0	0	24	24	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
816	816	Bacteroides	Bacteroides	genus	13.42113	abund	13.42113	816	1||976|200643|171549|815|816	0	0	445623	445623	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
830	830	Butyrivibrio	Butyrivibrio	genus	0.00037	abund	0.00037	830	1||1239|186801|3085636|186803|830	0	0	10	10	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
836	836	Porphyromonas	Porphyromonas	genus	0.00021	abund	0.00021	836	1||976|200643|171549|171551|836	0	0	3	3	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
838	838	Prevotella	Prevotella	genus	0.0054	abund	0.0054	838	1||976|200643|171549|171552|838	0	0	94	94	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
841	841	Roseburia	Roseburia	genus	0.14972	abund	0.14972	841	1||1239|186801|3085636|186803|841	0	0	3669	3669	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
846	846	Oxalobacter	Oxalobacter	genus	0.08101	abund	0.08101	846	1||1224|28216|80840|75682|846	0	0	1226	1226	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
872	872	Desulfovibrio	Desulfovibrio	genus	0.07717	abund	0.07717	872	1||200940|3031449|213115|194924|872	0	0	1465	1465	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
906	906	Megasphaera	Megasphaera	genus	0.00057	abund	0.00057	906	1||1239|909932|1843489|31977|906	0	0	9	9	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1257	1257	Peptostreptococcus	Peptostreptococcus	genus	8e-05	abund	8e-05	1257	1||1239|186801|3082720|186804|1257	0	0	1	1	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1263	1263	Ruminococcus	Ruminococcus	genus	0.00484	abund	0.00484	1263	1||1239|186801|186802|216572|1263	0	0	114	114	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1301	1301	Streptococcus	Streptococcus	genus	0.08669	abund	0.08669	1301	1||1239|91061|186826|1300|1301	0	0	1090	1090	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1350	1350	Enterococcus	Enterococcus	genus	0.00583	abund	0.00583	1350	1||1239|91061|186826|81852|1350	0	0	106	106	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1485	1485	Clostridium	Clostridium	genus	0.03716	abund	0.03716	1485	1||1239|186801|186802|31979|1485	0	0	776	776	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1654	1654	Actinomyces	Actinomyces	genus	0.00308	abund	0.00308	1654	1||201174|1760|2037|2049|1654	0	0	59	59	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1678	1678	Bifidobacterium	Bifidobacterium	genus	0.00231	abund	0.00231	1678	1||201174|1760|85004|31953|1678	0	0	34	34	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1716	1716	Corynebacterium	Corynebacterium	genus	0.00023	abund	0.00023	1716	1||201174|1760|85007|1653|1716	0	0	4	4	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
