tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,clade_reads,direct_reads
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,562,Escherichia coli,Escherichia coli,species,17.23357026268361,abund,17.23,3081098000,3081098000
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,817,Bacteroides fragilis,Bacteroides fragilis,species,20.298877990986476,abund,20.3,3629128000,3629128000
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,4.285501899324025,abund,4.29,766182000,766182000
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,14.029990045007217,abund,14.03,2508347000,2508347000
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,1351,Enterococcus faecalis,Enterococcus faecalis,species,0.0008557781187714874,abund,0.0,153000,153000
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,1496,Clostridioides difficile,Clostridioides difficile,species,2.5341939291659585,abund,2.53,453075000,453075000
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,1613,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,0.9202355504101974,abund,0.92,164524000,164524000
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,1.9794707219288277,abund,1.98,353899000,353899000
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,2173,Methanobrevibacter smithii,Methanobrevibacter smithii,species,0.06186213067720687,abund,0.06,11060000,11060000
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,species,0.1922200707823591,abund,0.19,34366000,34366000
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,5476,Candida albicans,Candida albicans,species,0.23586475483970493,abund,0.24,42169000,42169000
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,28128,Prevotella corporis,Prevotella corporis,species,8.314242396411414,abund,8.31,1486459000,1486459000
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,28901,Salmonella enterica,Salmonella enterica,species,0.030293426740303112,abund,0.03,5416000,5416000
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,239935,Akkermansia muciniphila,Akkermansia muciniphila,species,2.0060110302528193,abund,2.01,358644000,358644000
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,301301,Roseburia hominis,Roseburia hominis,species,5.204383866043093,abund,5.2,930464000,930464000
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,423477,Veillonella rogosae,Veillonella rogosae,species,19.06178080378932,abund,19.06,3407954000,3407954000
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,561,Escherichia,Escherichia,genus,17.23357026268361,abund,17.23,3081098000,0
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,0,590,Salmonella,Salmonella,genus,0.030293426740303112,abund,0.03,5416000,0
