tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,clade_reads,direct_reads
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,28116,Bacteroides ovatus,Bacteroides ovatus,species,0.7166361513328376,abund,0.72,73900000,73900000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,28117,Alistipes putredinis,Alistipes putredinis,species,0.5703609184951581,abund,0.57,58816000,58816000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,28118,Odoribacter splanchnicus,Odoribacter splanchnicus,species,1.0173130188325126,abund,1.02,104906000,104906000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,28125,Prevotella bivia,Prevotella bivia,species,0.5403766291863471,abund,0.54,55724000,55724000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,28128,Prevotella corporis,Prevotella corporis,species,0.6944194609038319,abund,0.69,71609000,71609000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,29347,[Clostridium] scindens,[Clostridium] scindens,species,0.02739507998483241,abund,0.03,2824999,2824999
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,29466,Veillonella parvula,Veillonella parvula,species,0.6469895905903148,abund,0.65,66718000,66718000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,33031,Peptoniphilus lacrimalis,Peptoniphilus lacrimalis,species,0.38447190110815993,abund,0.38,39647000,39647000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,33039,[Ruminococcus] torques,[Ruminococcus] torques,species,0.6314253007000684,abund,0.63,65113000,65113000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,39485,Lachnospira eligens,Lachnospira eligens,species,0.503555689178082,abund,0.5,51927000,51927000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,39486,Dorea formicigenerans,Dorea formicigenerans,species,0.637486151551853,abund,0.64,65737999,65737999
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,39488,Anaerobutyricum hallii,Anaerobutyricum hallii,species,0.8962606535588459,abund,0.9,92422999,92422999
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,39490,Eubacterium ramulus,Eubacterium ramulus,species,0.7936527185031408,abund,0.79,81842000,81842000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,39491,Agathobacter rectalis,Agathobacter rectalis,species,0.7956794702707803,abund,0.8,82051000,82051000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,39496,Eubacterium ventriosum,Eubacterium ventriosum,species,0.660459247074771,abund,0.66,68107000,68107000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,39777,Veillonella atypica,Veillonella atypica,species,0.49911429056765666,abund,0.5,51469000,51469000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,40520,Blautia obeum,Blautia obeum,species,0.8602349081520075,abund,0.86,88708000,88708000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,40545,Sutterella wadsworthensis,Sutterella wadsworthensis,species,0.7081509465640118,abund,0.71,73025000,73025000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,43675,Rothia mucilaginosa,Rothia mucilaginosa,species,0.5117499726405482,abund,0.51,52772000,52772000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,45851,Eshraghiella crossota,Eshraghiella crossota,species,0.557259762332091,abund,0.56,57465000,57465000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,46503,Parabacteroides merdae,Parabacteroides merdae,species,0.9501101970634115,abund,0.95,97976000,97976000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.840394075058273,abund,0.84,86662000,86662000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,47678,Bacteroides caccae,Bacteroides caccae,species,1.222170105394166,abund,1.22,126031000,126031000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,74426,Collinsella aerofaciens,Collinsella aerofaciens,species,0.5612647789829767,abund,0.56,57878000,57878000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,84112,Eggerthella lenta,Eggerthella lenta,species,0.8081018003549646,abund,0.81,83331999,83331999
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,84135,Gemella sanguinis,Gemella sanguinis,species,0.4281682813233935,abund,0.43,44153000,44153000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,88431,Dorea longicatena,Dorea longicatena,species,0.6564542304238852,abund,0.66,67694000,67694000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,89014,Blautia luti,Blautia luti,species,0.7638526793550242,abund,0.76,78769000,78769000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,113107,Streptococcus australis,Streptococcus australis,species,0.5554463528557818,abund,0.56,57278000,57278000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,114527,Mogibacterium diversum,Mogibacterium diversum,species,0.4216807361915712,abund,0.42,43484000,43484000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,116090,Caloranaerobacter azorensis,Caloranaerobacter azorensis,species,0.6085879781508285,abund,0.61,62758000,62758000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,154046,Hungatella hathewayi,Hungatella hathewayi,species,1.7387299672691519,abund,1.74,179298999,179298999
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,154288,Turicibacter sanguinis,Turicibacter sanguinis,species,0.7354781546080704,abund,0.74,75843000,75843000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,166486,Roseburia intestinalis,Roseburia intestinalis,species,1.1879092728818668,abund,1.19,122498000,122498000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,169435,Anaerotruncus colihominis,Anaerotruncus colihominis,species,0.8052507812500159,abund,0.81,83038000,83038000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,214856,Alistipes finegoldii,Alistipes finegoldii,species,1.0362326011227747,abund,1.04,106857000,106857000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,216816,Bifidobacterium longum,Bifidobacterium longum,species,0.37068223118670796,abund,0.37,38225000,38225000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,249188,Haemophilus pittmaniae,Haemophilus pittmaniae,species,0.5026926129385046,abund,0.5,51837999,51837999
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,261299,Intestinibacter bartlettii,Intestinibacter bartlettii,species,0.6909090104737576,abund,0.69,71247000,71247000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,292800,Flavonifractor plautii,Flavonifractor plautii,species,0.9971036854173889,abund,1.0,102822000,102822000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,301301,Roseburia hominis,Roseburia hominis,species,0.8372230328189518,abund,0.84,86335000,86335000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,301302,Roseburia faecis,Roseburia faecis,species,0.7354781546080704,abund,0.74,75843000,75843000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,328812,Parabacteroides goldsteinii,Parabacteroides goldsteinii,species,1.8991827748008066,abund,1.9,195845000,195845000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,328813,Alistipes onderdonkii,Alistipes onderdonkii,species,0.7688662232012905,abund,0.77,79286000,79286000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,342942,Mediterraneibacter glycyrrhizinilyticus,Mediterraneibacter glycyrrhizinilyticus,species,0.7483756658566858,abund,0.75,77173000,77173000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,357276,Phocaeicola dorei,Phocaeicola dorei,species,1.6883521040818996,abund,1.69,174104000,174104000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,371601,Bacteroides xylanisolvens,Bacteroides xylanisolvens,species,1.1541720987210151,abund,1.15,119019000,119019000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,387661,Parabacteroides johnsonii,Parabacteroides johnsonii,species,1.232895404221962,abund,1.23,127137000,127137000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,410072,Coprococcus comes,Coprococcus comes,species,0.7679546697746966,abund,0.77,79192000,79192000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,411483,Faecalibacterium duncaniae,Faecalibacterium duncaniae,species,1.6940250695559145,abund,1.69,174689000,174689000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,411486,Clostridium sp. M62/1,Clostridium sp. M62/1,species,0.9756918772693116,abund,0.98,100614000,100614000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,418240,Blautia wexlerae,Blautia wexlerae,species,1.401629761910614,abund,1.4,144537000,144537000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,423477,Veillonella rogosae,Veillonella rogosae,species,0.5979887452224552,abund,0.6,61665000,61665000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,454154,Paraprevotella clara,Paraprevotella clara,species,0.9460663909050111,abund,0.95,97559000,97559000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,487174,Barnesiella intestinihominis,Barnesiella intestinihominis,species,0.7635423632949072,abund,0.76,78737000,78737000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,544580,Actinomyces oris,Actinomyces oris,species,0.8127662483309759,abund,0.81,83813000,83813000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,649756,Anaerostipes hadrus,Anaerostipes hadrus,species,0.6608083526424027,abund,0.66,68143000,68143000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,674529,Bacteroides faecis,Bacteroides faecis,species,1.3951713089094275,abund,1.4,143871000,143871000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,712411,Olsenella sp. oral taxon 807,Olsenella sp. oral taxon 807,species,0.7679934592822113,abund,0.77,79196000,79196000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,938288,Fenollaria massiliensis,Fenollaria massiliensis,species,0.3791965280861698,abund,0.38,39103000,39103000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,1099853,Coprobacter fastidiosus,Coprobacter fastidiosus,species,0.7935848368649902,abund,0.79,81835000,81835000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,1160721,Ruminococcus bicirculans (ex Wegman et al. 2014),Ruminococcus bicirculans (ex Wegman et al. 2014),species,0.7033119555015614,abund,0.7,72526000,72526000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,1297617,Intestinimonas butyriciproducens,Intestinimonas butyriciproducens,species,0.7599252417191676,abund,0.76,78364000,78364000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,1335613,Gordonibacter urolithinfaciens,Gordonibacter urolithinfaciens,species,0.7674794983076424,abund,0.77,79143000,79143000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,1550024,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,species,1.091565833592398,abund,1.09,112563000,112563000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,1737424,Blautia massiliensis (ex Durand et al. 2017),Blautia massiliensis (ex Durand et al. 2017),species,1.0008274781387936,abund,1.0,103206000,103206000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,1796613,Bacteroides caecimuris,Bacteroides caecimuris,species,0.8472016336270911,abund,0.85,87364000,87364000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,1796652,Turicimonas muris,Turicimonas muris,species,0.688969535098026,abund,0.69,71047000,71047000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,1982626,Faecalibacillus intestinalis,Faecalibacillus intestinalis,species,0.658558561206554,abund,0.66,67911000,67911000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2025876,Parabacteroides sp. CT06,Parabacteroides sp. CT06,species,1.957570680987207,abund,1.96,201866000,201866000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2093857,Dysosmobacter welbionis,Dysosmobacter welbionis,species,0.6494042374331006,abund,0.65,66967000,66967000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2108523,Lawsonibacter asaccharolyticus,Lawsonibacter asaccharolyticus,species,0.7384746440635758,abund,0.74,76152000,76152000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2109687,Oscillibacter sp. PEA192,Oscillibacter sp. PEA192,species,0.030401276514593314,abund,0.03,3135000,3135000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2382163,Streptococcus koreensis,Streptococcus koreensis,species,0.377916474338187,abund,0.38,38971000,38971000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2585118,Alistipes communis,Alistipes communis,species,0.7514303395734632,abund,0.75,77488000,77488000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,2610896,Streptococcus sp. LPB0220,Streptococcus sp. LPB0220,species,0.711690489124722,abund,0.71,73390000,73390000
