name
Actinomyces naeslundii strain FDAARGOS_1037
Actinomyces oris strain FDAARGOS_1051
Agathobacter rectalis strain VPI 0990
Aggregatibacter aphrophilus ATCC 33389 strain NCTC 5906
Alistipes communis strain 5CBH24
Alistipes finegoldii strain CE91-St15
Alistipes onderdonkii subsp. vulgaris strain 3BBH6
Alistipes putredinis strain SFAD35
Allocoprobacillus halotolerans strain LH1062
Anaerobutyricum hallii strain DFI.9.38
Anaerocolumna sp. AGMB13020
Anaerostipes hadrus strain BA1
Anaerotruncus colihominis strain DSM 17241
Bacteroides caccae CL03T12C61
Bacteroides caecimuris strain I48
Bacteroides eggerthii strain DSM 20697
Bacteroides faecis strain BFG-108
Bacteroides ovatus strain ATCC 8483
Bacteroides sp. DH3716P
Bacteroides stercoris strain BFG-121
Bacteroides thetaiotaomicron strain DSM 2079
Bacteroides uniformis strain JCM5828
Bacteroides xylanisolvens strain CL11T00C03
Barnesiella intestinihominis strain SFAD78
Bifidobacterium adolescentis ATCC 15703
Bifidobacterium longum subsp. longum JCM 1217
Bifidobacterium sp. FKU
Bifidobacterium sp. KRGSERBCFTRI
Blautia luti strain JCM 17040
Blautia massiliensis (ex Durand et al. 2017) strain FDAARGOS_1576
Blautia obeum ATCC 29174
Blautia wexlerae DSM 19850
Caloranaerobacter azorensis strain T3-1
Campylobacter concisus strain ATCC 33237
Clostridium sp. M62/1 strain FDAARGOS_1583
Collinsella aerofaciens ATCC 25986 strain JCM 10188
Coprobacter fastidiosus strain JCM 33896
Coprococcus comes ATCC 27758
Dorea formicigenerans strain ATCC 27755
Dorea longicatena strain DSM 13814
Dysosmobacter welbionis isolate W10
Eggerthella lenta strain APC055-529-1D
Eshraghiella crossota strain DSM 2876
Eubacterium ramulus strain JCM 31335
Eubacterium ventriosum strain ATCC 27560
Faecalibacillus intestinalis strain 14EGH31
Faecalibacterium duncaniae strain JCM 31915
Faecalibacterium prausnitzii strain Indica
Faecalibacterium sp. I2-3-92
Faecalibacterium sp. I3-3-89
Faecalibacterium sp. I4-1-79
Faecalibacterium sp. I4-3-84
