tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1522,1522,[Clostridium] innocuum,[Clostridium] innocuum,species,0.00357,abund,0.00357,1522,1||1239|186801|186802|31979|1485|1522,11,0,0,11,0.004212909345507421,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1547,1547,Thomasclavelia ramosa,Thomasclavelia ramosa,species,0.00029,abund,0.00029,1547,1||1239|526524|526525|2810280|3025755|1547,1,0,0,1,0.00034222512890676535,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1613,1613,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,6.83528,abund,6.83528,1613,1||1239|91061|186826|33958|2742598|1613,12742,0,0,12742,8.066222686599431,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1639,1639,Listeria monocytogenes,Listeria monocytogenes,species,0.00035,abund,0.00035,1639,1||1239|91061|1385|186820|1637|1639,1,0,0,1,0.00041303032799092364,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,0.2255,abund,0.2255,1680,1||201174|1760|85004|31953|1678|1680,468,0,0,468,0.26610953989129515,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2173,2173,Methanobrevibacter smithii,Methanobrevibacter smithii,species,0.07517,abund,0.07517,2173,1||28890|183925|2158|2159|2172|2173,120,0,0,120,0.08870711358593639,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,4932,4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,species,0.0741,abund,0.0741,4932,1||4890|4891|4892|4893|4930|4932,761,0,0,761,0.08744442086893556,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,5059,5059,Aspergillus flavus,Aspergillus flavus,species,3e-05,abund,3e-05,5059,1||4890|147545|5042|1131492|5052|5059,1,0,0,1,3.5402599542079175e-05,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28116,28116,Bacteroides ovatus,Bacteroides ovatus,species,0.00749,abund,0.00749,28116,1||976|200643|171549|815|816|28116,47,0,0,47,0.008838849019005767,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28117,28117,Alistipes putredinis,Alistipes putredinis,species,0.00163,abund,0.00163,28117,1||976|200643|171549|171550|239759|28117,4,0,0,4,0.0019235412417863019,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28118,28118,Odoribacter splanchnicus,Odoribacter splanchnicus,species,0.0007,abund,0.0007,28118,1||976|200643|171549|1853231|283168|28118,3,0,0,3,0.0008260606559818473,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28128,28128,Prevotella corporis,Prevotella corporis,species,9.08062,abund,9.08062,28128,1||976|200643|171549|171552|838|28128,23929,0,0,23929,10.715918448459833,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28901,28901,Salmonella enterica,Salmonella enterica,species,0.01251,abund,0.01251,28901,1||1224|1236|91347|543|590|28901,59,0,0,59,0.014762884009047017,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,29360,29360,Cellulosilyticum lentocellum,Cellulosilyticum lentocellum,species,0.0005,abund,0.0005,29360,1||1239|186801|3085636|3018741|698776|29360,2,0,0,2,0.0005900433257013196,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,29466,29466,Veillonella parvula,Veillonella parvula,species,0.001,abund,0.001,29466,1||1239|909932|1843489|31977|29465|29466,2,0,0,2,0.0011800866514026392,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,33035,33035,Blautia producta,Blautia producta,species,0.00018,abund,0.00018,33035,1||1239|186801|3085636|186803|572511|33035,1,0,0,1,0.00021241559725247507,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,33038,33038,Mediterraneibacter gnavus,Mediterraneibacter gnavus,species,0.00747,abund,0.00747,33038,1||1239|186801|3085636|186803|2316020|33038,24,0,0,24,0.008815247285977714,0.8473954
