taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
432330	432330	Tumebacillus	Tumebacillus	genus	0.0	abund	0.0	4516965	9	6	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
446458	446458	Fabibacter	Fabibacter	genus	0.0	abund	0.0	4661901	9	5	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
447020	447020	Adlercreutzia	Adlercreutzia	genus	0.0	abund	0.0	2862526	17	15	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
447237	447237	Frondihabitans	Frondihabitans	genus	0.0	abund	0.0	3409251	4	3	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
447792	447792	Phytobacter	Phytobacter	genus	0.0	abund	0.0	0	7	0	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
449972	449972	Chelativorans	Chelativorans	genus	0.0	abund	0.0	4935185	4	1	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
453229	453229	Desulfarculus	Desulfarculus	genus	0.0	abund	0.0	3655731	1	0	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
458032	458032	Chloracidobacterium	Chloracidobacterium	genus	0.0	abund	0.0	3695372	1	1	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
459532	459532	Terribacillus	Terribacillus	genus	0.0	abund	0.0	3577082	9	8	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
459786	459786	Oscillibacter	Oscillibacter	genus	0.0	abund	0.0	4470622	6	5	0.0	0.9887787302723271	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	default	Centrifuge_default
