taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
846	846	Oxalobacter	Oxalobacter	genus	0.08121	abund	0.08121	846	1||1224|28216|80840|75682|846	0	0	1226	1226	0.12384798951752815	0.6557232	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
872	872	Desulfovibrio	Desulfovibrio	genus	0.07663	abund	0.07663	872	1||200940|3031449|213115|194924|872	0	0	1460	1460	0.11686333501697059	0.6557232	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
906	906	Megasphaera	Megasphaera	genus	0.00038	abund	0.00038	906	1||1239|909932|1843489|31977|906	0	0	6	6	0.0005795128188235525	0.6557232	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1263	1263	Ruminococcus	Ruminococcus	genus	0.00715	abund	0.00715	1263	1||1239|186801|186802|216572|1263	0	0	160	160	0.010903991196285262	0.6557232	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1301	1301	Streptococcus	Streptococcus	genus	0.07581	abund	0.07581	1301	1||1239|91061|186826|1300|1301	0	0	961	961	0.11561280735529872	0.6557232	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1350	1350	Enterococcus	Enterococcus	genus	0.00596	abund	0.00596	1350	1||1239|91061|186826|81852|1350	0	0	108	108	0.009089201053127296	0.6557232	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1485	1485	Clostridium	Clostridium	genus	0.04356	abund	0.04356	1485	1||1239|186801|186802|31979|1485	0	0	909	909	0.06643046944198407	0.6557232	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1654	1654	Actinomyces	Actinomyces	genus	0.00335	abund	0.00335	1654	1||201174|1760|2037|2049|1654	0	0	64	64	0.005108863008049739	0.6557232	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1678	1678	Bifidobacterium	Bifidobacterium	genus	0.00225	abund	0.00225	1678	1||201174|1760|85004|31953|1678	0	0	33	33	0.0034313259009289285	0.6557232	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1716	1716	Corynebacterium	Corynebacterium	genus	0.00012	abund	0.00012	1716	1||201174|1760|85007|1653|1716	0	0	2	2	0.0001830040480495429	0.6557232	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1730	1730	Eubacterium	Eubacterium	genus	0.05301	abund	0.05301	1730	1||1239|186801|186802|186806|1730	0	0	1294	1294	0.08084203822588557	0.6557232	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1743	1743	Propionibacterium	Propionibacterium	genus	0.0068	abund	0.0068	1743	1||201174|1760|85009|31957|1743	0	0	110	110	0.010370229389474095	0.6557232	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
