taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
107	107	Spirosoma	Spirosoma	genus	0.00590655	abund	5.90655e-05	0	11153	3357	0.00590673911477395	0.999967983218782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
113	113	Gemmata	Gemmata	genus	0.0	abund	0.0	3106835	14	4	0.0	0.999967983218782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
118	118	Planctomyces	Planctomyces	genus	0.0	abund	0.0	8771787	4	3	0.0	0.999967983218782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
123	123	Pirellula	Pirellula	genus	0.0	abund	0.0	1035567	1	0	0.0	0.999967983218782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
127	127	Isosphaera	Isosphaera	genus	0.0	abund	0.0	3898761	2	2	0.0	0.999967983218782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
133	133	Methylocystis	Methylocystis	genus	0.0	abund	0.0	47685817	110	42	0.0	0.999967983218782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
138	138	Borrelia	Borrelia	genus	0.0	abund	0.0	5575759	640	239	0.0	0.999967983218782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
146	146	Spirochaeta	Spirochaeta	genus	0.0	abund	0.0	1035567	8	8	0.0	0.999967983218782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
157	157	Treponema	Treponema	genus	0.00182751	abund	1.82751e-05	9463158	14549	5462	0.001827568512861237	0.999967983218782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
171	171	Leptospira	Leptospira	genus	0.0222668103	abund	0.000222668103	12188794	6206	1020	0.02226752323441966	0.999967983218782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
179	179	Leptospirillum	Leptospirillum	genus	0.0	abund	0.0	1035567	5	2	0.0	0.999967983218782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
187	187	Aquaspirillum	Aquaspirillum	genus	0.0	abund	0.0	1035567	2	0	0.0	0.999967983218782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
191	191	Azospirillum	Azospirillum	genus	6.214239999999999e-05	abund	6.214239999999999e-07	39434868	146068	1605	6.214438966332777e-05	0.999967983218782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
