tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,lineage_raw,query_name,query_md5,query_filename,fraction_raw,f_weighted_raw,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,,423477,Veillonella rogosae,Veillonella rogosae,species,11.10792991690859,abund_weighted,0.1110792991690859,;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella rogosae,,c21c3eff,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Zymo.fastq,0.0012711486591917,0.1110792991690859,2281000,0.8064677014324935,6747990
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,3.12124054718516,abund_weighted,0.0312124054718516,;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium adolescentis,,c21c3eff,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Zymo.fastq,0.0011647087670805,0.0312124054718516,2090000,0.8041958911071111,6747990
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,,1613,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,4.02011561961413,abund_weighted,0.0402011561961413,;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;Limosilactobacillus fermentum,,c21c3eff,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Zymo.fastq,0.0010409932903858,0.0402011561961413,1868000,0.801288007508687,6747990
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,,2173,Methanobrevibacter smithii,Methanobrevibacter smithii,species,0.08024611773283,abund_weighted,0.0008024611773283,;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter smithii,,c21c3eff,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Zymo.fastq,0.0009479280444038,0.0008024611773283,1701000,0.7988709427624183,6747990
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,,674529,Bacteroides faecis,Bacteroides faecis,species,0.01152935911286,abund_weighted,0.0001152935911286,;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis,,c21c3eff,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Zymo.fastq,0.0003912083992777,0.0001152935911286,702000,0.7763859775616738,6747990
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,,28901,Salmonella enterica,Salmonella enterica,species,0.012551885820809999,abund_weighted,0.0001255188582081,;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica,,c21c3eff,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Zymo.fastq,0.0003538708455005,0.0001255188582081,635000,0.7738778427927002,6747990
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,,573,Klebsiella pneumoniae,Klebsiella pneumoniae,species,0.01016599016892,abund_weighted,0.0001016599016892,;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae,,c21c3eff,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Zymo.fastq,0.000313189630191,0.0001016599016892,562000,0.7708351819071183,6747990
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,,216816,Bifidobacterium longum,Bifidobacterium longum,species,0.0055720295969614655,abund_weighted,5.5720295969614656e-05,;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum,,c21c3eff,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Zymo.fastq,0.0001850159381199,5.5720295969614656e-05,332000,0.7578572186935492,6747990
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,,28116,Bacteroides ovatus,Bacteroides ovatus,species,0.0042531183359785655,abund_weighted,4.253118335978566e-05,;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus,,c21c3eff,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Zymo.fastq,0.0001538084304852,4.253118335978566e-05,276000,0.7533544524570712,6747990
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,,820,Bacteroides uniformis,Bacteroides uniformis,species,0.003304687766282997,abund_weighted,3.304687766282997e-05,;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis,,c21c3eff,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Zymo.fastq,0.0001081117228773,3.304687766282997e-05,194000,0.7448355770421036,6747990
