tool,db,tool_db,data_type,project,technology,sample,raw_path,rows,species_rows,genus_rows,species_no_taxid,genus_no_taxid,species_value_sum,genus_value_sum,out_path
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Centrifuge-results/SRR13128014_kreport.tsv,1613,1160,453,0,0,90.10977071554615,84.21231097626298,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuge_unified/ZymoMockD6331_pacbio_SRR13128014.csv
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Centrifuger-results/SRR13128013_kreport.tsv,151,102,49,0,0,98.16087797424099,99.39859240885323,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuger_unified/ZymoMockD6331_pacbio_SRR13128013.csv
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Centrifuger-results/SRR13128014_kreport.tsv,137,93,44,0,0,98.14736018661326,99.36483375209465,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuger_unified/ZymoMockD6331_pacbio_SRR13128014.csv
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/ganon2-results/SRR13128013_reads.tre,56,32,24,0,0,99.67279000000002,99.6728,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Ganon2_unified/ZymoMockD6331_pacbio_SRR13128013.csv
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/ganon2-results/SRR13128014_reads.tre,53,31,22,0,0,99.72514000000001,99.72514,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Ganon2_unified/ZymoMockD6331_pacbio_SRR13128014.csv
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/sourmash-results/SRR13128013.kreport.txt,33,17,16,0,0,96.23010684998502,96.23010684998505,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sourmash_unified/ZymoMockD6331_pacbio_SRR13128013.csv
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/sourmash-results/SRR13128014.kreport.txt,32,16,16,0,0,96.38935465716129,96.3893546571613,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sourmash_unified/ZymoMockD6331_pacbio_SRR13128014.csv
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/sylph-results/SRR13128013.fastq.sylphmpa,34,17,17,0,0,100.00000000000001,99.99999999999999,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sylph_unified/ZymoMockD6331_pacbio_SRR13128013.csv
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/sylph-results/SRR13128014.fastq.sylphmpa,32,16,16,0,0,100.0001,100.0001,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sylph_unified/ZymoMockD6331_pacbio_SRR13128014.csv
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/Kraken2-results/sim_ont_report.tsv,1298,874,424,0,0,93.68618000681582,98.41762003287344,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Kraken2_unified/simulated_ont_sim_ont.csv
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/Centrifuge-results/sim_ont_kreport.tsv,2015,1397,618,0,0,88.29953185065102,74.53446729695037,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuge_unified/simulated_ont_sim_ont.csv
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/Centrifuger-results/sim_ont_kreport.tsv,2055,1386,669,0,0,92.50157208084889,95.83538827256992,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuger_unified/simulated_ont_sim_ont.csv
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/ganon2-results/sim_ont_reads.tre,240,162,78,0,0,99.08377999999999,99.08379000000001,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Ganon2_unified/simulated_ont_sim_ont.csv
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/sourmash-results/sim_ont.kreport.txt,195,128,67,0,0,93.10226498972588,93.1022650286433,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sourmash_unified/simulated_ont_sim_ont.csv
Sylph,unified,Sylph_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/sylph-results/sim_ont.fastq.sylphmpa,193,127,66,0,0,100.0006,100.0006,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sylph_unified/simulated_ont_sim_ont.csv
Kraken2,unified,Kraken2_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/Kraken2-results/sim_pacbio_report.tsv,645,447,198,0,0,97.06596852558019,99.5001064632895,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Kraken2_unified/simulated_pacbio_sim_pacbio.csv
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/Centrifuge-results/sim_pacbio_kreport.tsv,1102,740,362,0,0,93.63381790260866,78.73678080821766,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuge_unified/simulated_pacbio_sim_pacbio.csv
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/Centrifuger-results/sim_pacbio_kreport.tsv,828,532,296,0,0,95.0951878593136,96.77045224314924,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuger_unified/simulated_pacbio_sim_pacbio.csv
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/ganon2-results/sim_pacbio_reads.tre,216,144,72,0,0,99.0496,99.04959,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Ganon2_unified/simulated_pacbio_sim_pacbio.csv
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/sourmash-results/sim_pacbio.kreport.txt,195,128,67,0,0,96.4868828009815,96.48688282037624,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sourmash_unified/simulated_pacbio_sim_pacbio.csv
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/sylph-results/sim_pacbio.fastq.sylphmpa,193,127,66,0,0,100.00009999999997,100.00009999999999,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sylph_unified/simulated_pacbio_sim_pacbio.csv
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Kraken2-results/D6331_Qiagen_report.tsv,982,661,321,0,0,95.54374719782135,96.97115624117832,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Kraken2_default/ZymoMockD6331_ont_D6331_Qiagen.csv
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Kraken2-results/D6331_Zymo_report.tsv,4721,3488,1233,0,0,92.32312267193791,95.61386990410989,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Kraken2_default/ZymoMockD6331_ont_D6331_Zymo.csv
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Centrifuge-results/D6331_Qiagen_kreport.tsv,3089,2233,856,0,0,91.37742647913514,91.65042094950265,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuge_default/ZymoMockD6331_ont_D6331_Qiagen.csv
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Centrifuge-results/D6331_Zymo_kreport.tsv,6489,5030,1459,0,0,88.9455047612716,89.18272079099306,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuge_default/ZymoMockD6331_ont_D6331_Zymo.csv
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Centrifuger-results/D6331_Qiagen_kreport.tsv,1307,856,451,0,0,97.70213048604307,98.12590292422911,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuger_default/ZymoMockD6331_ont_D6331_Qiagen.csv
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Centrifuger-results/D6331_Zymo_kreport.tsv,6565,4978,1587,0,0,96.52272248946915,97.09547147986613,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuger_default/ZymoMockD6331_ont_D6331_Zymo.csv
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/ganon2-results/D6331_Qiagen_reads.tre,168,105,63,0,0,84.73943000000003,84.73950000000004,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Ganon2_default/ZymoMockD6331_ont_D6331_Qiagen.csv
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/ganon2-results/D6331_Zymo_reads.tre,354,217,137,0,0,68.51317,68.51329000000001,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Ganon2_default/ZymoMockD6331_ont_D6331_Zymo.csv
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/sourmash-results/D6331_Qiagen.kreport.txt,73,46,27,0,0,74.36596943902093,74.35521553972495,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sourmash_default/ZymoMockD6331_ont_D6331_Qiagen.csv
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/sourmash-results/D6331_Zymo.kreport.txt,77,51,26,0,0,65.8343299057705,65.7549284691122,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sourmash_default/ZymoMockD6331_ont_D6331_Zymo.csv
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/sylph-results/D6331_Qiagen.fastq.sylphmpa,55,30,25,2,0,95.4917,95.6758,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sylph_default/ZymoMockD6331_ont_D6331_Qiagen.csv
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/sylph-results/D6331_Zymo.fastq.sylphmpa,47,26,21,0,0,96.15719999999999,96.30179999999999,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sylph_default/ZymoMockD6331_ont_D6331_Zymo.csv
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Kraken2-results/SRR13128013_report.tsv,1434,956,478,0,0,98.0018644212769,99.18169012712062,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Kraken2_default/ZymoMockD6331_pacbio_SRR13128013.csv
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Kraken2-results/SRR13128014_report.tsv,1199,803,396,0,0,97.95270186956878,99.14162352717634,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Kraken2_default/ZymoMockD6331_pacbio_SRR13128014.csv
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Centrifuge-results/SRR13128013_kreport.tsv,2981,2155,826,0,0,96.90490188329639,96.8006011188693,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuge_default/ZymoMockD6331_pacbio_SRR13128013.csv
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Centrifuge-results/SRR13128014_kreport.tsv,2709,1946,763,0,0,96.85979547737773,96.73568311323935,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuge_default/ZymoMockD6331_pacbio_SRR13128014.csv
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Centrifuger-results/SRR13128013_kreport.tsv,3034,2155,879,0,0,99.22741644841093,99.46117286750946,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuger_default/ZymoMockD6331_pacbio_SRR13128013.csv
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/pacbio/Centrifuger-results/SRR13128014_kreport.tsv,2478,1747,731,0,0,99.1955436788602,99.43290352183992,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuger_default/ZymoMockD6331_pacbio_SRR13128014.csv
