tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,clade_reads,direct_reads
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,0,Faecalibacterium duncaniae,Faecalibacterium duncaniae,species,1.9289537221924027,abund,1.93,198915000,198915000
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,199,Campylobacter concisus,Campylobacter concisus,species,0.425637266040615,abund,0.43,43892000,43892000
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,726,Haemophilus haemolyticus,Haemophilus haemolyticus,species,0.5141161230012754,abund,0.51,53015999,53015999
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,727,Haemophilus influenzae,Haemophilus influenzae,species,0.3743963266038473,abund,0.37,38608000,38608000
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,729,Haemophilus parainfluenzae,Haemophilus parainfluenzae,species,0.538563219814491,abund,0.54,55537000,55537000
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,732,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,species,0.5624575564481389,abund,0.56,58001000,58001000
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,735,Haemophilus parahaemolyticus,Haemophilus parahaemolyticus,species,0.47283439931819804,abund,0.47,48759000,48759000
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,1.7658244483079768,abund,1.77,182093000,182093000
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,820,Bacteroides uniformis,Bacteroides uniformis,species,1.111852746238192,abund,1.11,114655000,114655000
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.766325510607709,abund,0.77,79024000,79024000
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,823,Parabacteroides distasonis,Parabacteroides distasonis,species,0.5614781213832045,abund,0.56,57900000,57900000
