tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1512,1512,[Clostridium] symbiosum,[Clostridium] symbiosum,species,0.00021,abund,0.00021,1512,1||1239|186801|3085636|186803|1506553|1512,1,0,0,1,0.00024691825441963103,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1522,1522,[Clostridium] innocuum,[Clostridium] innocuum,species,0.00358,abund,0.00358,1522,1||1239|186801|186802|31979|1485|1522,11,0,0,11,0.004209368337248947,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1532,1532,Blautia coccoides,Blautia coccoides,species,0.00026,abund,0.00026,1532,1||1239|186801|3085636|186803|572511|1532,1,0,0,1,0.0003057083149957336,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1547,1547,Thomasclavelia ramosa,Thomasclavelia ramosa,species,0.00029,abund,0.00029,1547,1||1239|526524|526525|2810280|3025755|1547,1,0,0,1,0.0003409823513413952,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1613,1613,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,6.84288,abund,6.84288,1613,1||1239|91061|186826|33958|2742598|1613,12748,0,0,12748,8.045866594300021,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1639,1639,Listeria monocytogenes,Listeria monocytogenes,species,0.00035,abund,0.00035,1639,1||1239|91061|1385|186820|1637|1639,1,0,0,1,0.0004115304240327183,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,0.22565,abund,0.22565,1680,1||201174|1760|85004|31953|1678|1680,467,0,0,467,0.26531954337995106,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2173,2173,Methanobrevibacter smithii,Methanobrevibacter smithii,species,0.07538,abund,0.07538,2173,1||28890|183925|2158|2159|2172|2173,120,0,0,120,0.0886318953245323,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,4932,4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,species,0.0743,abund,0.0743,4932,1||4890|4891|4892|4893|4930|4932,761,0,0,761,0.0873620300160885,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,5062,5062,Aspergillus oryzae,Aspergillus oryzae,species,3e-05,abund,3e-05,5062,1||4890|147545|5042|1131492|5052|5062,1,0,0,1,3.527403634566157e-05,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,5476,5476,Candida albicans,Candida albicans,species,0.06417,abund,0.06417,5476,1||4890|3239874|2916678|766764|5475|5476,867,0,0,867,0.0754511637433701,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28116,28116,Bacteroides ovatus,Bacteroides ovatus,species,0.00591,abund,0.00591,28116,1||976|200643|171549|815|816|28116,37,0,0,37,0.006948985160095331,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28117,28117,Alistipes putredinis,Alistipes putredinis,species,0.00162,abund,0.00162,28117,1||976|200643|171549|171550|239759|28117,4,0,0,4,0.0019047979626657247,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28118,28118,Odoribacter splanchnicus,Odoribacter splanchnicus,species,0.0007,abund,0.0007,28118,1||976|200643|171549|1853231|283168|28118,3,0,0,3,0.0008230608480654366,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28128,28128,Prevotella corporis,Prevotella corporis,species,9.03651,abund,9.03651,28128,1||976|200643|171549|171552|838|28128,23938,0,0,23938,10.62513940593114,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28901,28901,Salmonella enterica,Salmonella enterica,species,0.01255,abund,0.01255,28901,1||1224|1236|91347|543|590|28901,59,0,0,59,0.014756305204601758,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,29360,29360,Cellulosilyticum lentocellum,Cellulosilyticum lentocellum,species,0.0005,abund,0.0005,29360,1||1239|186801|3085636|3018741|698776|29360,2,0,0,2,0.0005879006057610262,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,29466,29466,Veillonella parvula,Veillonella parvula,species,0.00101,abund,0.00101,29466,1||1239|909932|1843489|31977|29465|29466,2,0,0,2,0.001187559223637273,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,33038,33038,Mediterraneibacter gnavus,Mediterraneibacter gnavus,species,0.00749,abund,0.00749,33038,1||1239|186801|3085636|186803|2316020|33038,24,0,0,24,0.008806751074300172,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,35703,35703,Citrobacter amalonaticus,Citrobacter amalonaticus,species,0.00164,abund,0.00164,35703,1||1224|1236|91347|543|544|35703,8,0,0,8,0.001928313986896166,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,39491,39491,Agathobacter rectalis,Agathobacter rectalis,species,0.00162,abund,0.00162,39491,1||1239|186801|3085636|186803|1766253|39491,5,0,0,5,0.0019047979626657247,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,40545,40545,Sutterella wadsworthensis,Sutterella wadsworthensis,species,0.00186,abund,0.00186,40545,1||1224|28216|80840|995019|40544|40545,5,0,0,5,0.0021869902534310173,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,46503,46503,Parabacteroides merdae,Parabacteroides merdae,species,0.01021,abund,0.01021,46503,1||976|200643|171549|2005525|375288|46503,44,0,0,44,0.012004930369640156,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,46506,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.02794,abund,0.02794,46506,1||976|200643|171549|815|816|46506,103,0,0,103,0.03285188584992614,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,47678,47678,Bacteroides caccae,Bacteroides caccae,species,0.00181,abund,0.00181,47678,1||976|200643|171549|815|816|47678,9,0,0,9,0.0021282001928549146,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,47715,47715,Lacticaseibacillus rhamnosus,Lacticaseibacillus rhamnosus,species,0.00109,abund,0.00109,47715,1||1239|91061|186826|33958|2759736|47715,3,0,0,3,0.001281623320559037,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,53443,53443,Blautia hydrogenotrophica,Blautia hydrogenotrophica,species,0.0003,abund,0.0003,53443,1||1239|186801|3085636|186803|572511|53443,1,0,0,1,0.0003527403634566157,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,71452,71452,Enterococcus raffinosus,Enterococcus raffinosus,species,0.00025,abund,0.00025,71452,1||1239|91061|186826|81852|1350|71452,1,0,0,1,0.0002939503028805131,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,72144,72144,Remersonia thermophila,Remersonia thermophila,species,3e-05,abund,3e-05,72144,1||4890|147550|5139||72143|72144,1,0,0,1,3.527403634566157e-05,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,76517,76517,Campylobacter hominis,Campylobacter hominis,species,0.00188,abund,0.00188,76517,1||29547|3031852|213849|72294|194|76517,3,0,0,3,0.0022105062776614586,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,76857,76857,Fusobacterium polymorphum,Fusobacterium polymorphum,species,0.00087,abund,0.00087,76857,1||32066|203490|203491|203492|848|76857,2,0,0,2,0.0010229470540241855,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,76859,76859,Fusobacterium animalis,Fusobacterium animalis,species,0.18614,abund,0.18614,76859,1||32066|203490|203491|203492|848|76859,415,0,0,415,0.21886363751271484,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,84112,84112,Eggerthella lenta,Eggerthella lenta,species,0.00063,abund,0.00063,84112,1||201174|84998|1643822|1643826|84111|84112,2,0,0,2,0.000740754763258893,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,88431,88431,Dorea longicatena,Dorea longicatena,species,0.00068,abund,0.00068,88431,1||1239|186801|3085636|186803|189330|88431,2,0,0,2,0.0007995448238349957,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,96241,96241,Bacillus spizizenii,Bacillus spizizenii,species,0.00027,abund,0.00027,96241,1||1239|91061|1385|186817|1386|96241,1,0,0,1,0.0003174663271109541,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,131110,131110,Schaalia radingae,Schaalia radingae,species,0.00049,abund,0.00049,131110,1||201174|1760|2037|2049|2529408|131110,1,0,0,1,0.0005761425936458057,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,133448,133448,Citrobacter youngae,Citrobacter youngae,species,0.00082,abund,0.00082,133448,1||1224|1236|91347|543|544|133448,4,0,0,4,0.000964156993448083,0.8504839
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,133926,133926,Olsenella uli,Olsenella uli,species,0.00048,abund,0.00048,133926,1||201174|84998|84999|1643824|133925|133926,1,0,0,1,0.0005643845815305851,0.8504839
