tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1496,1496,Clostridioides difficile,Clostridioides difficile,species,2.66569,fraction_reads,2.66569,1496,1||1239|186801|3082720|186804|1870884|1496,52750,0,0,52750
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1613,1613,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,1.14622,fraction_reads,1.14622,1613,1||1239|91061|186826|33958|2742598|1613,22682,0,0,22682
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,1.95376,fraction_reads,1.95376,1680,1||201174|1760|85004|31953|1678|1680,38662,0,0,38662
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2173,2173,Methanobrevibacter smithii,Methanobrevibacter smithii,species,0.05251,fraction_reads,0.05251,2173,1||28890|183925|2158|2159|2172|2173,1039,0,0,1039
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,4932,4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,species,0.19481,fraction_reads,0.19481,4932,1||4890|4891|4892|4893|4930|4932,3855,0,0,3855
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,28116,28116,Bacteroides ovatus,Bacteroides ovatus,species,0.00232,fraction_reads,0.00232,28116,1||976|200643|171549|815|816|28116,46,0,0,46
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,28128,28128,Prevotella corporis,Prevotella corporis,species,7.62442,fraction_reads,7.62442,28128,1||976|200643|171549|171552|838|28128,150876,0,0,150876
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,28901,28901,Salmonella enterica,Salmonella enterica,species,0.01678,fraction_reads,0.01678,28901,1||1224|1236|91347|543|590|28901,332,0,0,332
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,33035,33035,Blautia producta,Blautia producta,species,5e-05,fraction_reads,5e-05,33035,1||1239|186801|3085636|186803|572511|33035,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,39491,39491,Agathobacter rectalis,Agathobacter rectalis,species,5e-05,fraction_reads,5e-05,39491,1||1239|186801|3085636|186803|1766253|39491,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,42374,42374,Candida dubliniensis,Candida dubliniensis,species,0.00025,fraction_reads,0.00025,42374,1||4890|3239874|2916678|766764|5475|42374,5,0,0,5
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,76859,76859,Fusobacterium animalis,Fusobacterium animalis,species,0.01961,fraction_reads,0.01961,76859,1||32066|203490|203491|203492|848|76859,388,0,0,388
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,114525,114525,Saccharomyces mikatae,Saccharomyces mikatae,species,5e-05,fraction_reads,5e-05,114525,1||4890|4891|4892|4893|4930|114525,1,0,0,1
