tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,tax_abund_raw,seq_abund_raw,norm_abund,classified_fraction
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,674529,674529,Bacteroides faecis,Bacteroides faecis,species,0.0162,abund,0.0162,0.2393,0.1391812363074015,0.116395
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1297617,1297617,Intestinimonas butyriciproducens,Intestinimonas butyriciproducens,species,0.0013,abund,0.0013,0.0105,0.011168864641951975,0.116395
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,561,561,Escherichia,Escherichia,genus,1.5331,abund,1.5331,19.1772,11.334718350991077,0.135257
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,570,570,Klebsiella,Klebsiella,genus,0.0111,abund,0.0111,0.1532,0.08206599288761396,0.135257
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,590,590,Salmonella,Salmonella,genus,0.0036,abund,0.0036,0.0443,0.026615997693280203,0.135257
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,816,816,Bacteroides,Bacteroides,genus,1.905,abund,1.905,24.8253,14.084298779360774,0.135257
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,838,838,Prevotella,Prevotella,genus,1.3415,abund,1.3415,9.3325,9.918155807093163,0.135257
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,841,841,Roseburia,Roseburia,genus,0.197,abund,0.197,1.7577,1.4564865404378333,0.135257
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,848,848,Fusobacterium,Fusobacterium,genus,0.7666,abund,0.7666,4.7878,5.667728842130168,0.135257
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1263,1263,Ruminococcus_B,Ruminococcus,genus,0.0018,abund,0.0018,0.0161,0.013307998846640101,0.135257
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1386,1386,Bacillus,Bacillus,genus,0.0017,abund,0.0017,0.0172,0.012568665577382317,0.135257
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1678,1678,Bifidobacterium,Bifidobacterium,genus,0.0339999999999999,abund,0.0339999999999999,0.1811999999999999,0.2513733115476456,0.135257
