tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,638,638,Arsenophonus nasoniae,Arsenophonus nasoniae,species,3e-05,fraction_reads,3e-05,638,1||1224|1236|91347|1903414|637|638,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,668,668,Aliivibrio fischeri,Aliivibrio fischeri,species,3e-05,fraction_reads,3e-05,668,1||1224|1236|135623|641|511678|668,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,817,817,Bacteroides fragilis,Bacteroides fragilis,species,10.7341,fraction_reads,10.7341,817,1||976|200643|171549|815|816|817,319784,0,0,319784,15.487513795287104,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.00544,fraction_reads,0.00544,818,1||976|200643|171549|815|816|818,162,0,0,162,0.007849011565605113,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,820,820,Bacteroides uniformis,Bacteroides uniformis,species,0.00117,fraction_reads,0.00117,820,1||976|200643|171549|815|816|820,35,0,0,35,0.0016881146198084527,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.00077,fraction_reads,0.00077,821,1||976|200643|171549|815|909656|821,23,0,0,23,0.0011109814164551354,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,0.00252,fraction_reads,0.00252,823,1||976|200643|171549|2005525|375288|823,75,0,0,75,0.0036359391811258976,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,3.71792,fraction_reads,3.71792,851,1||32066|203490|203491|203492|848|851,110762,0,0,110762,5.364337698528412,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,10.21304,fraction_reads,10.21304,853,1||1239|186801|186802|216572|216851|853,304261,0,0,304261,14.735711227938904,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1006,1006,Marivirga tractuosa,Marivirga tractuosa,species,7e-05,fraction_reads,7e-05,1006,1||976|768503|768507|2762301|869806|1006,2,0,0,2,0.00010099831058683049,0.6930808999999999
