tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,lineage_raw,query_name,query_md5,query_filename,fraction_raw,f_weighted_raw,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes,norm_abund,classified_fraction
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,387661,Parabacteroides johnsonii,Parabacteroides johnsonii,species,1.22883220211815,abund_weighted,0.0122883220211815,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0072003758618052,0.0122883220211815,4613000,0.8528691880329288,10312067,1.3153382149980826,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,1522,[Clostridium] innocuum,[Clostridium] innocuum,species,1.1453862741582201,abund_weighted,0.0114538627415822,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;[Clostridium] innocuum,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.007183206094955,0.0114538627415822,4602000,0.8528035082732038,10312067,1.2260179499997543,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,371601,Bacteroides xylanisolvens,Bacteroides xylanisolvens,species,1.4450449167950499,abund_weighted,0.0144504491679505,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0069990213232895,0.0144504491679505,4484000,0.8520892273783194,10312067,1.5467716407276433,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,820,Bacteroides uniformis,Bacteroides uniformis,species,1.11185274494434,abund_weighted,0.0111185274494434,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0068710285158609,0.0111185274494434,4402000,0.8515820685717769,10312067,1.1901237633217507,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,1550024,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,species,1.09435867707221,abund_weighted,0.0109435867707221,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruthenibacterium;Ruthenibacterium lactatiformans,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.006838249870056,0.0109435867707221,4381000,0.8514507160081486,10312067,1.171398166801478,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,418240,Blautia wexlerae,Blautia wexlerae,species,1.27536021633684,abund_weighted,0.0127536021633684,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia wexlerae,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0066727957531362,0.0127536021633684,4275000,0.8507782558019825,10312067,1.3651416585148834,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,28118,Odoribacter splanchnicus,Odoribacter splanchnicus,species,1.01680875424878,abund_weighted,0.0101680875424878,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;Odoribacter splanchnicus,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0066009949099445,0.0101680875424878,4229000,0.8504813985105968,10312067,1.0883889675926814,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,166486,Roseburia intestinalis,Roseburia intestinalis,species,1.13048140591018,abund_weighted,0.0113048140591018,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia intestinalis,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0064355407930247,0.0113048140591018,4123000,0.8497852626275201,10312067,1.2100638248048208,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,28111,Bacteroides eggerthii,Bacteroides eggerthii,species,0.9487913528878299,abund_weighted,0.0094879135288783,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0061764334023766,0.0094879135288783,3957000,0.8486594982300752,10312067,1.0155833500798046,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,46503,Parabacteroides merdae,Parabacteroides merdae,species,0.9488786292796499,abund_weighted,0.0094887862927965,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0061389720928853,0.0094887862927965,3933000,0.8484929673634407,10312067,1.015676770461554,0.9342328749415535
