taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
227388	227388	                Thermodesulfobium	Thermodesulfobium	genus	0.0	abund	0.0	1	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
393029	393029	                Desulfurispirillum	Desulfurispirillum	genus	0.0	abund	0.0	1	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
3238959	3238959	                Candidatus Endomicrobiellum	Candidatus Endomicrobiellum	genus	0.0	abund	0.0	1	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
1392389	1392389	                Intestinimonas	Intestinimonas	genus	1.02	abund	1.02	30055	0	1.1034184335785373	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
415014	415014	                Proteiniborus	Proteiniborus	genus	0.0	abund	0.0	60	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
2717089	2717089	                Massilistercora	Massilistercora	genus	0.0	abund	0.0	33	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
1686313	1686313	                Fenollaria	Fenollaria	genus	0.0	abund	0.0	14	1	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
1918454	1918454	                Flintibacter	Flintibacter	genus	0.0	abund	0.0	13	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
178898	178898	                  Carboxydocella	Carboxydocella	genus	0.0	abund	0.0	4	0	0.0	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
1485	1485	                Clostridium	Clostridium	genus	0.38	abund	0.38	11102	1244	0.41107745564690606	0.9244000000000001	DYN_0036_D11_Qiagen_report	DYN_0036_D11	ont_qiagen	Kraken2	unified	Kraken2_unified
