taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	lineage_raw	query_name	query_md5	query_filename	fraction_raw	f_weighted_raw	bp_match_at_rank	query_ani_at_rank	total_weighted_hashes	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
	3025755	Thomasclavelia	Thomasclavelia	genus	0.09899675304931	abund_weighted	0.0009899675304931	;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Thomasclavelia		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0012873461065948	0.0009899675304931	3349000	0.8067971683591153	17365216	0.13871673584212815	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	40544	Sutterella	Sutterella	genus	0.5342576792595	abund_weighted	0.005342576792595	;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0010340283746611	0.005342576792595	2690000	0.8011145053897198	17365216	0.7486152735590659	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	577309	Paraprevotella	Paraprevotella	genus	1.13005216865715	abund_weighted	0.0113005216865715	;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.000966374473568	0.0113005216865715	2514000	0.7993677582380277	17365216	1.5834574704622653	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	239934	Akkermansia	Akkermansia	genus	0.02053530459972	abund_weighted	0.0002053530459972	;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.000845289366498	0.0002053530459972	2199000	0.7959231600157071	17365216	0.028774584376298925	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	1279	Staphylococcus	Staphylococcus	genus	0.03245568612564	abund_weighted	0.0003245568612564	;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0008395234090185	0.0003245568612564	2184000	0.7957474433378975	17365216	0.045477722250374435	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	904	Acidaminococcus	Acidaminococcus	genus	0.1982699207427	abund_weighted	0.001982699207427	;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0007922425576864	0.001982699207427	2061000	0.7942608691928291	17365216	0.27782079082336625	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	547	Enterobacter	Enterobacter	genus	0.01520280542436	abund_weighted	0.0001520280542436	;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0007299702169076	0.0001520280542436	1899000	0.7921661759341564	17365216	0.021302552650992405	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	459786	Oscillibacter	Oscillibacter	genus	0.02131847942461	abund_weighted	0.0002131847942461	;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillibacter		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0006707730534511	0.0002131847942461	1745000	0.7900079673065505	17365216	0.02987198860377251	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	1678	Bifidobacterium	Bifidobacterium	genus	0.01889985128892	abund_weighted	0.0001889985128892	;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0006411744717229	0.0001889985128892	1668000	0.7888587244069482	17365216	0.02648294613657427	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	61170	Holdemania	Holdemania	genus	0.01076289520383	abund_weighted	0.0001076289520383	;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemania		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0004651205700148	0.0001076289520383	1210000	0.780732241205934	17365216	0.015081238979045486	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
