taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
28116	28116	                      Bacteroides ovatus	Bacteroides ovatus	species	16.24	abund	16.24	1465278	1440281	18.77239625476823	0.8651000000000002	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	unified	Kraken2_unified
820	820	                      Bacteroides uniformis	Bacteroides uniformis	species	8.36	abund	8.36	754644	672060	9.663622702577735	0.8651000000000002	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	unified	Kraken2_unified
46506	46506	                      Bacteroides stercoris	Bacteroides stercoris	species	8.17	abund	8.17	737596	250718	9.443994913882786	0.8651000000000002	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	unified	Kraken2_unified
371601	371601	                      Bacteroides xylanisolvens	Bacteroides xylanisolvens	species	6.22	abund	6.22	560902	519030	7.18992024043463	0.8651000000000002	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	unified	Kraken2_unified
2763022	2763022	                        Bacteroides sp. M10	Bacteroides sp. M10	species	1.37	abund	1.37	123661	123661	1.583631950063576	0.8651000000000002	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	unified	Kraken2_unified
556259	556259	                        Bacteroides sp. D2	Bacteroides sp. D2	species	0.37	abund	0.37	33370	33370	0.4276962200901629	0.8651000000000002	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	unified	Kraken2_unified
2025659	2025659	                        Bacteroides sp. KFT8	Bacteroides sp. KFT8	species	0.37	abund	0.37	33076	33076	0.4276962200901629	0.8651000000000002	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	unified	Kraken2_unified
2847299	2847299	                        Bacteroides sp. DH3716P	Bacteroides sp. DH3716P	species	0.33	abund	0.33	29904	29904	0.38145879089122636	0.8651000000000002	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	unified	Kraken2_unified
2785531	2785531	                        Bacteroides sp. HF-162	Bacteroides sp. HF-162	species	0.21	abund	0.21	19036	19036	0.24274650329441677	0.8651000000000002	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	unified	Kraken2_unified
2528203	2528203	                        Bacteroides sp. A1C1	Bacteroides sp. A1C1	species	0.09	abund	0.09	7869	7869	0.1040342156976072	0.8651000000000002	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	unified	Kraken2_unified
