taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
2855430	2855430	                  Altericista	Altericista	genus	0.0	abund	0.0	3	0	0.0	0.7448999999999999	DYN_0007_D01_Zymo_report	DYN_0007_D01	ont_zymo	Kraken2	default	Kraken2_default
1453359	1453359	                    Candidatus Atelocyanobacterium	Candidatus Atelocyanobacterium	genus	0.0	abund	0.0	4	0	0.0	0.7448999999999999	DYN_0007_D01_Zymo_report	DYN_0007_D01	ont_zymo	Kraken2	default	Kraken2_default
28070	28070	                    Gloeothece	Gloeothece	genus	0.0	abund	0.0	2	0	0.0	0.7448999999999999	DYN_0007_D01_Zymo_report	DYN_0007_D01	ont_zymo	Kraken2	default	Kraken2_default
263510	263510	                    Crocosphaera	Crocosphaera	genus	0.0	abund	0.0	2	0	0.0	0.7448999999999999	DYN_0007_D01_Zymo_report	DYN_0007_D01	ont_zymo	Kraken2	default	Kraken2_default
2546365	2546365	                    Rippkaea	Rippkaea	genus	0.0	abund	0.0	2	0	0.0	0.7448999999999999	DYN_0007_D01_Zymo_report	DYN_0007_D01	ont_zymo	Kraken2	default	Kraken2_default
1125	1125	                    Microcystis	Microcystis	genus	0.0	abund	0.0	5	3	0.0	0.7448999999999999	DYN_0007_D01_Zymo_report	DYN_0007_D01	ont_zymo	Kraken2	default	Kraken2_default
669357	669357	                    Geminocystis	Geminocystis	genus	0.0	abund	0.0	4	0	0.0	0.7448999999999999	DYN_0007_D01_Zymo_report	DYN_0007_D01	ont_zymo	Kraken2	default	Kraken2_default
102231	102231	                    Gloeocapsa	Gloeocapsa	genus	0.0	abund	0.0	3	0	0.0	0.7448999999999999	DYN_0007_D01_Zymo_report	DYN_0007_D01	ont_zymo	Kraken2	default	Kraken2_default
1158	1158	                    Oscillatoria	Oscillatoria	genus	0.0	abund	0.0	2	0	0.0	0.7448999999999999	DYN_0007_D01_Zymo_report	DYN_0007_D01	ont_zymo	Kraken2	default	Kraken2_default
1198	1198	                    Phormidium	Phormidium	genus	0.0	abund	0.0	1	0	0.0	0.7448999999999999	DYN_0007_D01_Zymo_report	DYN_0007_D01	ont_zymo	Kraken2	default	Kraken2_default
132607	132607	                    Planktothricoides	Planktothricoides	genus	0.0	abund	0.0	1	0	0.0	0.7448999999999999	DYN_0007_D01_Zymo_report	DYN_0007_D01	ont_zymo	Kraken2	default	Kraken2_default
