taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
672	672	Vibrio vulnificus	Vibrio vulnificus	species	1e-05	abund	1e-05	672	1||1224|1236|135623|641|662|672	1	0	0	1	1.465883396305241e-05	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
729	729	Haemophilus parainfluenzae	Haemophilus parainfluenzae	species	2e-05	abund	2e-05	729	1||1224|1236|135625|712|724|729	1	0	0	1	2.931766792610482e-05	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
817	817	Bacteroides fragilis	Bacteroides fragilis	species	0.13509	abund	0.13509	817	1||976|200643|171549|815|816|817	15068	0	0	15068	0.198026188006875	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
818	818	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	species	2.21484	abund	2.21484	818	1||976|200643|171549|815|816|818	303089	0	0	303089	3.2466971814727	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
820	820	Bacteroides uniformis	Bacteroides uniformis	species	6.14022	abund	6.14022	820	1||976|200643|171549|815|816|820	632023	0	0	632023	9.000846547661368	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
821	821	Phocaeicola vulgatus	Phocaeicola vulgatus	species	2.08708	abund	2.08708	821	1||976|200643|171549|815|909656|821	229306	0	0	229306	3.0594159187607417	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
823	823	Parabacteroides distasonis	Parabacteroides distasonis	species	4.52092	abund	4.52092	823	1||976|200643|171549|2005525|375288|823	496045	0	0	496045	6.62714156402429	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
831	831	Butyrivibrio fibrisolvens	Butyrivibrio fibrisolvens	species	5e-05	abund	5e-05	831	1||1239|186801|3085636|186803|830|831	5	0	0	5	7.329416981526205e-05	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
837	837	Porphyromonas gingivalis	Porphyromonas gingivalis	species	0.00032	abund	0.00032	837	1||976|200643|171549|171551|836|837	16	0	0	16	0.0004690826868176771	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
839	839	Xylanibacter ruminicola	Xylanibacter ruminicola	species	1e-05	abund	1e-05	839	1||976|200643|171549|171552|558436|839	1	0	0	1	1.465883396305241e-05	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
851	851	Fusobacterium nucleatum	Fusobacterium nucleatum	species	0.00061	abund	0.00061	851	1||32066|203490|203491|203492|848|851	28	0	0	28	0.000894188871746197	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
853	853	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii	species	0.0025	abund	0.0025	853	1||1239|186801|186802|216572|216851|853	160	0	0	160	0.0036647084907631025	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
907	907	Megasphaera elsdenii	Megasphaera elsdenii	species	0.00019	abund	0.00019	907	1||1239|909932|1843489|31977|906|907	10	0	0	10	0.00027851784529799576	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
930	930	Acidithiobacillus thiooxidans	Acidithiobacillus thiooxidans	species	1e-05	abund	1e-05	930	1||1224|1807140|225057|225058|119977|930	1	0	0	1	1.465883396305241e-05	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
1102	1102	Prosthecochloris aestuarii	Prosthecochloris aestuarii	species	2e-05	abund	2e-05	1102	1||1090|191410|191411|191412|1101|1102	1	0	0	1	2.931766792610482e-05	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
