taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
256	256	Myroides odoratus	Myroides odoratus	species	0.0	abund	0.0	256	1||976|117743|200644|49546|76831|256	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
259	259	Sphingobacterium thalpophilum	Sphingobacterium thalpophilum	species	0.0	abund	0.0	259	1||976|117747|200666|84566|28453|259	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
277	277	Meiothermus ruber	Meiothermus ruber	species	0.0	abund	0.0	277	1||1297|188787|68933|188786|65551|277	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
285	285	Comamonas testosteroni	Comamonas testosteroni	species	0.0	abund	0.0	285	1||1224|28216|80840|80864|283|285	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.00975	abund	0.00975	287	1||1224|1236|72274|135621|286|287	5011	0	0	5011	0.016439101727016153	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
292	292	Burkholderia cepacia	Burkholderia cepacia	species	1e-05	abund	1e-05	292	1||1224|28216|80840|119060|32008|292	9	0	0	9	1.6860617155914004e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
294	294	Pseudomonas fluorescens	Pseudomonas fluorescens	species	3e-05	abund	3e-05	294	1||1224|1236|72274|135621|286|294	15	0	0	15	5.058185146774201e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
296	296	Pseudomonas fragi	Pseudomonas fragi	species	0.00052	abund	0.00052	296	1||1224|1236|72274|135621|286|296	209	0	0	209	0.0008767520921075282	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
297	297	Hydrogenophilus thermoluteolus	Hydrogenophilus thermoluteolus	species	0.00013	abund	0.00013	297	1||1224|2008785|119069|206349|70774|297	22	0	0	22	0.00021918802302688204	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
303	303	Pseudomonas putida	Pseudomonas putida	species	3e-05	abund	3e-05	303	1||1224|1236|72274|135621|286|303	14	0	0	14	5.058185146774201e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
316	316	Stutzerimonas stutzeri	Stutzerimonas stutzeri	species	2e-05	abund	2e-05	316	1||1224|1236|72274|135621|2901164|316	9	0	0	9	3.372123431182801e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
317	317	Pseudomonas syringae	Pseudomonas syringae	species	1e-05	abund	1e-05	317	1||1224|1236|72274|135621|286|317	4	0	0	4	1.6860617155914004e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
337	337	Burkholderia glumae	Burkholderia glumae	species	0.0	abund	0.0	337	1||1224|28216|80840|119060|32008|337	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
346	346	Xanthomonas citri	Xanthomonas citri	species	0.0	abund	0.0	346	1||1224|1236|135614|32033|338|346	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
353	353	Azotobacter chroococcum	Azotobacter chroococcum	species	0.0	abund	0.0	353	1||1224|1236|72274|135621|352|353	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
373	373	Agrobacterium vitis	Agrobacterium vitis	species	0.0	abund	0.0	373	1||1224|28211|356|82115|357|373	2	0	0	2	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
384	384	Rhizobium leguminosarum	Rhizobium leguminosarum	species	3e-05	abund	3e-05	384	1||1224|28211|356|82115|379|384	16	0	0	16	5.058185146774201e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
396	396	Rhizobium phaseoli	Rhizobium phaseoli	species	0.0	abund	0.0	396	1||1224|28211|356|82115|379|396	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
399	399	Neorhizobium galegae	Neorhizobium galegae	species	1e-05	abund	1e-05	399	1||1224|28211|356|82115|1525371|399	3	0	0	3	1.6860617155914004e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
428	428	Methylosinus sporium	Methylosinus sporium	species	0.0	abund	0.0	428	1||1224|28211|356|31993|425|428	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
435	435	Acetobacter aceti	Acetobacter aceti	species	2e-05	abund	2e-05	435	1||1224|28211|3120395|433|434|435	5	0	0	5	3.372123431182801e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
436	436	Novacetimonas hansenii	Novacetimonas hansenii	species	0.0	abund	0.0	436	1||1224|28211|3120395|433|2919364|436	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
446	446	Legionella pneumophila	Legionella pneumophila	species	0.0	abund	0.0	446	1||1224|1236|118969|444|445|446	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
470	470	Acinetobacter baumannii	Acinetobacter baumannii	species	0.00027	abund	0.00027	470	1||1224|1236|2887326|468|469|470	85	0	0	85	0.00045523666320967807	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
471	471	Acinetobacter calcoaceticus	Acinetobacter calcoaceticus	species	1e-05	abund	1e-05	471	1||1224|1236|2887326|468|469|471	2	0	0	2	1.6860617155914004e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
485	485	Neisseria gonorrhoeae	Neisseria gonorrhoeae	species	4e-05	abund	4e-05	485	1||1224|28216|206351|481|482|485	7	0	0	7	6.744246862365602e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
488	488	Neisseria mucosa	Neisseria mucosa	species	1e-05	abund	1e-05	488	1||1224|28216|206351|481|482|488	1	0	0	1	1.6860617155914004e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
493	493	Neisseria canis	Neisseria canis	species	1e-05	abund	1e-05	493	1||1224|28216|206351|481|482|493	1	0	0	1	1.6860617155914004e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
511	511	Alcaligenes faecalis	Alcaligenes faecalis	species	0.0	abund	0.0	511	1||1224|28216|80840|506|507|511	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
518	518	Bordetella bronchiseptica	Bordetella bronchiseptica	species	0.0	abund	0.0	518	1||1224|28216|80840|506|517|518	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
