tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,tax_abund_raw,seq_abund_raw
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,423477,423477,Veillonella rogosae,Veillonella rogosae,species,29.163,abund,29.163,19.9857
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,561,561,Escherichia,Escherichia,genus,11.0387,abund,11.0387,17.2649
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,590,590,Salmonella,Salmonella,genus,0.0108,abund,0.0108,0.0169
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,816,816,Bacteroides,Bacteroides,genus,13.4441,abund,13.4441,22.0593
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,838,838,Prevotella,Prevotella,genus,8.8197,abund,8.8197,8.2543
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,841,841,Roseburia,Roseburia,genus,4.904,abund,4.904,5.3933
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,848,848,Fusobacterium,Fusobacterium,genus,5.8177,abund,5.8177,4.523
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1678,1678,Bifidobacterium,Bifidobacterium,genus,3.0394,abund,3.0394,2.0169
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2172,2172,Methanobrevibacter,Methanobrevibacter,genus,0.1111,abund,0.1111,0.0654
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,4930,4930,Saccharomyces,Saccharomyces,genus,0.0613,abund,0.0613,0.2365
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,5475,5475,Candida,Candida,genus,0.0586,abund,0.0586,0.2656
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,29465,29465,Veillonella,Veillonella,genus,29.163,abund,29.163,19.9857
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,186777,186777,Muvirus,Muvirus,genus,2.3122,abund,2.3122,0.027
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,216851,216851,Faecalibacterium,Faecalibacterium,genus,15.4019,abund,15.4019,14.2522
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,239934,239934,Akkermansia,Akkermansia,genus,2.2935,abund,2.2935,2.0768
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1870884,1870884,Clostridioides,Clostridioides,genus,2.0325,abund,2.0325,2.6589
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2742598,2742598,Limosilactobacillus,Limosilactobacillus,genus,1.4917,abund,1.4917,0.9034
